"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250223_115237_100req_1_browse_run",60.5107080944126,50,110,40.8202693692492,32,81,61413.9254833978,29342,125677,565.911961594879,300,1246,1,305.854,37495,"##------ Wed Feb 26 14:48:13 2025 ------##",122.591170950846,"Overall","system","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_1_browse_run",70.9299363057325,63,107,15.2675159235669,11,24.4,29269.5668789809,30018,30310.2,2045.01910828025,2105,2111,1,NA,157,"##------ Wed Feb 26 14:48:13 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_1_browse_run",77.5914285714286,69,125,17.5858571428571,12,37,29322.8745714286,29339,29348,1252.90242857143,1246,1246,1,NA,7000,"##------ Wed Feb 26 14:48:13 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_1_browse_run",48.5922857142857,43,80,48.0471428571429,42,79,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:48:13 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_1_browse_run",60.8474285714286,45,114,46.6377142857143,36,80,119006.081714286,113000,151901,307.292285714286,300,300,1,NA,7000,"##------ Wed Feb 26 14:48:13 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_1_browse_run",51.6364414029085,42,94,41.3310521813516,35,69,119009.833618477,112449,151780,877.30624465355,875,876,1,NA,2338,"##------ Wed Feb 26 14:48:13 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_1_browse_run",33.8824285714286,26,61,17.6948571428571,11,35,10706.2934285714,10710,10710,627.322285714286,620,620,1,NA,7000,"##------ Wed Feb 26 14:48:13 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_1_browse_run",84.3702857142857,69,147,74.5382857142857,62,127,120400.296428571,110374,153873,294.862857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:48:13 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_2_browse_run",56.4733664867165,45,103,38.2791266654256,30,75,61352.1611307608,29343,125327,567.402733824429,300,1246,1,306.373,37603,"##------ Wed Feb 26 14:48:14 2025 ------##",122.736011332591,"Overall","system","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_2_browse_run",68.478021978022,62,99.7,15.1868131868132,12,29.9,29364.8956043956,30025,30074.9,2025.73626373626,2103.5,2111,1,NA,182,"##------ Wed Feb 26 14:48:14 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
"20250223_115237_100req_2_browse_run",72.8391428571429,65,115,17.1307142857143,12,34,29321.4122857143,29339,29348,1252.71685714286,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:48:14 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-highreplication","100"
