"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250222_215720_100req_1_browse_run",375.666524486151,103,1185,285.734157980326,61,1061,60476.0060515582,28556,124278,565.923462451014,300,1246,1,306.411,37511,"##------ Wed Feb 26 14:47:49 2025 ------##",122.420539732581,"Overall","system","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_1_browse_run",1228.80263157895,144.5,3374.8,480.118421052632,32.5,1432.3,28974.4473684211,29247.5,30536.5,2046.32894736842,2106.5,2111,1,NA,152,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_1_browse_run",617.662285714286,146,2061.3,205.247714285714,21,732.1,28525.5315714286,28552,28561,1253.01842857143,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_1_browse_run",561.009571428571,210,1292,560.729857142857,210,1292,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_1_browse_run",202.590142857143,57,418,192.113714285714,49,396,118840.042857143,113000,151901,307.323857142857,300,300,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_1_browse_run",361.807121661721,106,1359.4,346.805002119542,90,1342,118940.077151335,112449,151780,877.306485799067,875,876,1,NA,2359,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_1_browse_run",63.2845714285714,31,141,33.9624285714286,14,67,10706.2944285714,10710,10710,627.323285714286,620,620,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_1_browse_run",419.931428571429,130,1328,411.815285714286,123,1324.1,116171.803285714,106340,149845,294.869714285714,288,288,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_2_browse_run",493.03453802388,108,1475.4,379.458476907872,67,1218,60259.8092528782,28556,124278,564.941955819109,300,1246,1,306.156,37437,"##------ Wed Feb 26 14:47:49 2025 ------##",122.280798024537,"Overall","system","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_2_browse_run",586.280575539568,73,1805.2,266,14,923,28934.3669064748,29244,30683.6,2055.56834532374,2107,2111,1,NA,139,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_2_browse_run",862.893714285714,142,3321,322.747,21,932,28526.2468571429,28552,28561,1253.053,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_2_browse_run",755.766857142857,301,1585,755.457,300,1585,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_2_browse_run",234.977857142857,50,745.200000000001,222.995857142857,43,691.200000000001,118627.955857143,113000,151901,307.232857142857,300,300,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_2_browse_run",432.9181897302,107,1571.9,418.505221932115,94,1563.8,118163.154482158,112449,151780,877.553089643168,875,876,1,NA,2298,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_2_browse_run",89.2714285714286,30,255,52.4425714285714,14,126,10706.2948571429,10710,10710,627.323714285714,620,620,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_2_browse_run",540.146571428571,119,1934.2,533.084428571429,111,1932,115933.741428571,106340,149631,294.874857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:47:49 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_3_browse_run",362.189850174309,101,1165,277.07890464912,63,884.800000000003,60504.5024616122,28556,124278,567.290044442079,300,1246,1,306.348,37577,"##------ Wed Feb 26 14:47:50 2025 ------##",122.661156593155,"Overall","system","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_3_browse_run",556.303370786517,113,1406.2,222.88202247191,32.5,692.200000000001,28994.6348314607,29247,29886,2029.97752808989,2103,2111,1,NA,178,"##------ Wed Feb 26 14:47:50 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_3_browse_run",629.839285714286,147,2291.5,237.357714285714,21,756,28528.211,28552,28561,1252.81228571429,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:47:50 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_3_browse_run",524.293714285714,175,1280.1,523.910857142857,174.5,1280,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:47:50 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_3_browse_run",157.717857142857,55,408,146.368,47,384.1,118853.105,113000,151901,307.306285714286,300,300,1,NA,7000,"##------ Wed Feb 26 14:47:50 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_3_browse_run",279.955286251567,71,814.6,264.782281654827,61,800,118987.728792311,112449,151780,877.199331383201,875,876,1,NA,2393,"##------ Wed Feb 26 14:47:50 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_3_browse_run",66.2581428571429,28,150,35.2497142857143,14,79,10706.2954285714,10710,10710,627.324285714286,620,620,1,NA,7000,"##------ Wed Feb 26 14:47:50 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_3_browse_run",456.305285714286,137,1499.1,448.315142857143,131,1486.1,116167.763857143,106340,149845,294.818857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:47:50 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_4_browse_run",363.652727466439,97,1186,281.985936501172,57,1027.7,60500.9747762625,28556,124278,565.655470914127,300,1246,1,306.876,37544,"##------ Wed Feb 26 14:47:50 2025 ------##",122.34257485108,"Overall","system","teastore-private-nlb-rds-single-noreplication","100"
"20250222_215720_100req_4_browse_run",484.021582733813,72,2219.2,213.496402877698,12,996.8,28990.3237410072,29248,30660.4,2051.56834532374,2106,2111,1,NA,139,"##------ Wed Feb 26 14:47:50 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication","100"
