"measureKey";"measureName";"systemName";"entityName";"entityType";"entityId";"value"
"ratioOfEndpointsSupportingSsl";"Ratio of endpoints that support SSL";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfExternalEndpointsSupportingTls";"Ratio of external endpoints that support TLS";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfSecuredLinks";"Ratio of secured links";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"secretsExternalization";"Secrets Externalization";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfUniqueAccountUsage";"Ratio of unique account usage";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.08333333333333333"
"dataAggregateScope";"Data aggregate scope";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"5"
"externallyAvailableEndpoints";"Externally available endpoints";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"16"
"ratioOfRequestTracesThroughGateway";"Ratio of request traces through a gateway";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfStateDependencyOfEndpoints";"Ratio of state dependency of endpoints";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.660377358490566"
"ratioOfStatefulComponents";"Ratio of stateful components";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.25"
"ratioOfStatelessComponents";"Ratio of stateless components";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.75"
"degreeToWhichComponentsAreLinkedToStatefulComponents";"Degree to which components are linked to stateful components";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.625"
"ratioOfSpecializedStatefulServices";"Ratio of specialized stateful services";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1"
"suitablyReplicatedStatefulService";"Ratio of suitably replicated stateful services";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"degreeOfAsynchronousCommunication";"Degree of asynchronous communication";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"asynchronousCommunicationUtilization";"Asynchronous Communication Utilization";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"eventSourcingUtilizationMetric";"Event Sourcing utilization metric";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"serviceInteractionViaBackingService";"Service Interaction via Backing Service";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfNonCustomBackingServices";"Ratio of non-custom backing services";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.3333333333333333"
"ratioOfComponentsOrInfrastructureNodesThatExportLogsToACentralService";"Ratio of Components or Infrastructure nodes that export logs to a central service";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfComponentsOrInfrastructureNodesThatExportMetrics";"Ratio of Components or Infrastructure nodes that export metrics";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"distributedTracingSupport";"Distributed Tracing Support";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfServicesThatProvideHealthEndpoints";"Ratio of Services that provide Health endpoints";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"couplingDegreeBasedOnPotentialCoupling";"Coupling degree based on potential coupling";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.28869047619047616"
"interactionDensityBasedOnComponents";"Interaction density based on components";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"4.25"
"interactionDensityBasedOnLinks";"Interaction density based on links";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.08673469387755102"
"systemCouplingBasedOnEndpointEntropy";"System Coupling based on Endpoint Entropy";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1.645899061409296"
"servicesInterdependenceInTheSystem";"Services Interdependence in the System";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"aggregateSystemMetricToMeasureServiceCoupling";"Aggregate System metric to measure service coupling";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.21428571428571427"
"degreeOfCouplingInASystem";"Degree of coupling in a system";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.21428571428571427"
"simpleDegreeOfCouplingInASystem";"Simple Degree of coupling in a system";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1.5"
"directServiceSharing";"Direct Service Sharing";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.1985294117647059"
"transitivelySharedServices";"Transitively Shared Services";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.2904411764705882"
"ratioOfSharedNonExternalComponentsToNonExternalComponents";"Ratio of shared non-external components to non-external components";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.25"
"ratioOfSharedDependenciesOfNonExternalComponentsToPossibleDependencies";"Ratio of shared dependencies of non-external components to possible dependencies";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.375"
"averageSystemCoupling";"Average System Coupling";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1.9625000000000006"
"numberOfSynchronousCycles";"Number of synchronous cycles";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"densityOfAggregation";"Density of Aggregation";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"-1.4634839998110207"
"dataAggregateConvergenceAcrossComponents";"Data Aggregate Convergence across Components";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"5.525"
"ratioOfCyclicRequestTraces";"Ratio of cyclic request traces";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.23529411764705882"
"numberOfPotentialCyclesInASystem";"Number of potential cycles in a system";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"maximumLengthOfServiceLinkChainPerRequestTrace";"Maximum Length of Service Link chain per request trace";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"8"
"maximumNumberOfServicesWithinARequestTrace";"Maximum number of services within a request trace";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"6"
"numberOfRequestTraces";"Number of Request Traces";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"17"
"averageComplexityOfRequestTraces";"Average Complexity of Request Traces";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"3.5294117647058822"
"databaseTypeUtilization";"Database Type Utilization";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1"
"numberOfServiceConnectedToStorageBackingService";"Number of Services connected to a Storage Backing Service";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1"
"serviceDiscoveryUsage";"Service Discovery Usage";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1"
"averageNumberOfEndpointsPerService";"Average Number of Endpoints per Service";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"6.625"
"numberOfComponents";"Number of components";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"8"
"amountOfRedundancy";"Amount of redundancy";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1"
"serviceReplicationLevel";"Service Replication level";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"5"
"medianServiceReplication";"Median Service Replication level";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"5"
"smallestReplicationValue";"Smallelst Service Replication Value";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"5"
"storageReplicationLevel";"Storage Replication level";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"3"
"ratioOfCachedDataAggregates";"Ratio of Cached Data Aggregates";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.3333333333333333"
"dataShardingLevel";"Level of sharding across storage backing services";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"1"
"configurationExternalization";"Configuration externalization";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfComponentsWhoseIngressIsProxied";"Ratio of components whose ingress is proxied";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"numberOfAvailabilityZonesUsed";"Number of Availability Zones used";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"3"
"rollingUpdateOption";"Rolling Update Option";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.3333333333333333"
"numberOfLinksWithRetryLogic";"Number of Links with retry logic";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"numberOfLinksWithComplexFailover";"Number of Links with Complex Failover";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"serviceMeshUsage";"Service Mesh Usage";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfInfrastructureNodesThatSupportMonitoring";"Ratio of Infrastructure nodes that support Monitoring";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfComponentsThatSupportMonitoring";"Ratio of Components that support Monitoring";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0"
"ratioOfProviderManagedComponentsAndInfrastructure";"Ratio of Provider-Managed Components and Infrastructure";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"0.5"
"componentDensity";"Component density";"teastore-private-nlb-rds-three-highreplication-model";"teastore-private-nlb-rds-three-highreplication-model";"system";"5";"2.6666666666666665"
"ratioOfEndpointsSupportingSsl";"Ratio of endpoints that support SSL";"teastore-private-nlb-rds-three-highreplication-model";"Imageprovider";"component";"6e3465ac-399f-4636-b824-df152a7287be";"0"
"ratioOfExternalEndpointsSupportingTls";"Ratio of external endpoints that support TLS";"teastore-private-nlb-rds-three-highreplication-model";"Imageprovider";"component";"6e3465ac-399f-4636-b824-df152a7287be";"0"
"secretsExternalization";"Secrets Externalization";"teastore-private-nlb-rds-three-highreplication-model";"Imageprovider";"component";"6e3465ac-399f-4636-b824-df152a7287be";"0"
"serviceInterfaceDataCohesion";"Service Interface Data Cohesion";"teastore-private-nlb-rds-three-highreplication-model";"Imageprovider";"component";"6e3465ac-399f-4636-b824-df152a7287be";"3"
"cohesionBetweenEndpointsBasedOnDataAggregateUsage";"Cohesion between Endpoints based on data aggregate usage";"teastore-private-nlb-rds-three-highreplication-model";"Imageprovider";"component";"6e3465ac-399f-4636-b824-df152a7287be";"0.2"
"resourceCount";"Data Aggregate Count";"teastore-private-nlb-rds-three-highreplication-model";"Imageprovider";"component";"6e3465ac-399f-4636-b824-df152a7287be";"1"
"numberOfProvidedSynchronousAndAsynchronousEndpoints";"Number of provided synchronous and asynchronous endpoints";"teastore-private-nlb-rds-three-highreplication-model";"Imageprovider";"component";"6e3465ac-399f-4636-b824-df152a7287be";"6"
"numberOfSynchronousEndpointsOfferedByAService";"Number of synchronous endpoints offered by a service";"teastore-private-nlb-rds-three-highreplication-model";"Imageprovider";"component";"6e3465ac-399f-4636-b824-df152a7287be";"6"
