"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250224_120748_100req_1_browse_run",52.7836773781656,43,99,34.8480527771866,28,69,61564.4421685465,29680,126605,566.964354117897,300,1246,1,306.316,37592,"##------ Wed Feb 26 14:49:48 2025 ------##",122.72293970932,"Overall","system","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_1_browse_run",62.2409638554217,54,98,11.7831325301205,10,18,29403.4036144578,30361,30455.5,2038.72891566265,2105,2111,1,NA,166,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_1_browse_run",69.8324285714286,62,109,16.6218571428571,12,33,29648.697,29676,29685,1253.00157142857,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_1_browse_run",36.4085714285714,32,63,36.1804285714286,32,62,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_1_browse_run",54.7455714285714,39,109,41.6832857142857,33,78,118229.527285714,113000,151901,307.269142857143,300,300,1,NA,7000,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_1_browse_run",48.4542456718879,37,93.5,37.3953009068425,32,63,118724.326875515,112449,151780,877.041220115416,875,876,1,NA,2426,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_1_browse_run",30.687,24,53,16.1818571428571,11,32,10706.2945714286,10710,10710,627.323428571429,620,620,1,NA,7000,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_1_browse_run",73.521,59,129,63.237,53,103,121072.385142857,111807,155140,294.862,288,288,1,NA,7000,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_2_browse_run",59.8771116440181,48,110,39.9248867572609,32,77,61604.7631228351,29679,126609,566.133359978684,300,1246,1,305.727,37530,"##------ Wed Feb 26 14:49:48 2025 ------##",122.756576946099,"Overall","system","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_2_browse_run",70.6493506493507,65.5,116.8,15.4090909090909,11,27.4,29317.3766233766,30363,30534.3,2045.32467532468,2107,2111,1,NA,154,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_2_browse_run",73.7604285714286,66,115,19.8074285714286,13,37,29648.5805714286,29676,29685,1252.99928571429,1246,1246,1,NA,7000,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_2_browse_run",44.2127142857143,39,74,43.8751428571429,38,74,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
"20250224_120748_100req_2_browse_run",62.8224285714286,48,120,45.4337142857143,37,81,118542.295142857,113000,151901,307.284714285714,300,300,1,NA,7000,"##------ Wed Feb 26 14:49:48 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-three-highreplication","100"
