"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250223_220322_100req_1_browse_run",1112.7801308998,164,3583,864.66061831533,117,3184,61530.666897249,29343,125327,566.143856755175,300,1246,1,305.88,37586,"##------ Wed Feb 26 14:49:26 2025 ------##",122.878252909638,"Overall","system","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_1_browse_run",5299.63309352518,5777,8472.6,2544.10071942446,2703,3530.2,29161.5611510791,30017,30676,2057.1654676259,2107,2111,1,NA,139,"##------ Wed Feb 26 14:49:26 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_1_browse_run",2205.906,272,7327.5,1009.15014285714,40,3331.2,29323.0678571429,29339,29348,1252.92571428571,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:49:26 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_1_browse_run",1086.98814285714,291,3272,1086.67785714286,291,3272,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:49:26 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_1_browse_run",562.679428571429,74.5,2038,549.049285714286,65,2018.1,118838.165857143,113000,151901,307.292857142857,300,300,1,NA,7000,"##------ Wed Feb 26 14:49:26 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_1_browse_run",1241.29219452391,264,3688.2,1226.29873314262,247,3674.4,118998.035962403,112449,151780,877.155700858194,875,876,1,NA,2447,"##------ Wed Feb 26 14:49:26 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_1_browse_run",125.905857142857,34.5,325.1,79.309,16,189.1,10706.2937142857,10710,10710,627.322571428571,620,620,1,NA,7000,"##------ Wed Feb 26 14:49:26 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_1_browse_run",1454.35814285714,181,5126.3,1439.34957142857,172,5015.2,120221.614714286,110374,153659,294.849857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:49:26 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_2_browse_run",901.30648942405,147,3201,729.636155362566,93,2421,61346.8611806703,29342,125169,565.206484096116,300,1246,1,306.233,37538,"##------ Wed Feb 26 14:49:26 2025 ------##",122.579865657849,"Overall","system","teastore-private-nlb-rds-three-noreplication","100"
"20250223_220322_100req_2_browse_run",2705.71551724138,2388,6545,1283.28448275862,771,3829,28973.5172413793,29274,31086.5,2078.98275862069,2107,2111,1,NA,116,"##------ Wed Feb 26 14:49:27 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-noreplication","100"
