"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250223_184351_100req_1_browse_run",58.5196734868088,47,109,39.3857870728519,31,80,61319.6799690559,29343,125411,566.160482300531,300,1246,1,306.035,37487,"##------ Wed Feb 26 14:49:04 2025 ------##",122.492525364746,"Overall","system","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_1_browse_run",64.4940476190476,62,91,13.8928571428571,12,20.6,29298.494047619,30026.5,30076.3,2035.63095238095,2104.5,2111,1,NA,168,"##------ Wed Feb 26 14:49:04 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_1_browse_run",73.0265714285714,63,119.1,16.8185714285714,11,34,29321.8497142857,29339,29348,1252.92642857143,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:49:04 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_1_browse_run",51.4348571428571,42,95,50.9452857142857,42,94,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:49:04 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_1_browse_run",57.7222857142857,43,113,43.1058571428571,34,75,118837.506571429,113000,151901,307.272285714286,300,300,1,NA,7000,"##------ Wed Feb 26 14:49:04 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_1_browse_run",49.5019404915912,40,89,40.344545062527,34,69,119047.97585166,112449,151780,877.447606727038,875,876,1,NA,2319,"##------ Wed Feb 26 14:49:04 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_1_browse_run",33.3768571428571,25,60.1000000000004,17.3678571428571,11,35,10706.2945714286,10710,10710,627.323428571429,620,620,1,NA,7000,"##------ Wed Feb 26 14:49:04 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_1_browse_run",79.8818571428571,65,140,68.9855714285714,57,116,120258.697714286,110374,153873,294.888,288,288,1,NA,7000,"##------ Wed Feb 26 14:49:04 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_2_browse_run",55.5341133201855,44,101,37.1933798838015,29,75,61479.3677042802,29342,125677,565.986967645648,300,1246,1,305.818,37522,"##------ Wed Feb 26 14:49:04 2025 ------##",122.693889829899,"Overall","system","teastore-private-nlb-rds-two-highreplication","100"
"20250223_184351_100req_2_browse_run",67.5460526315789,58,113.9,15.9276315789474,12,28,29240.4539473684,30021.5,30619,2047.15789473684,2106,2111,1,NA,152,"##------ Wed Feb 26 14:49:04 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-highreplication","100"
