"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250223_151909_100req_1_browse_run",1796.96261557729,263,5935,1435.57185110181,192,5114,61393.8204854912,29342,125411,565.577766527219,300,1246,1,305.529,37529,"##------ Wed Feb 26 14:48:38 2025 ------##",122.832857110127,"Overall","system","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_1_browse_run",4802.28148148148,4098,9298.8,2182.25925925926,2321,4168.2,29110.0148148148,30020,30631,2057.99259259259,2107,2111,1,NA,135,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_1_browse_run",3576.13314285714,799,11543,1808.97842857143,238.5,7079.2,29322.4307142857,29339,29348,1252.74914285714,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_1_browse_run",1716.883,1213,5012.2,1716.60957142857,1212.5,5012,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_1_browse_run",946.426714285714,87,3460.3,927.062857142857,75,3391.1,118735.238714286,113000,151901,307.271428571429,300,300,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_1_browse_run",1734.0765370138,843,4474,1704.22919280636,805,4400,118824.159347553,112449,151780,877.184023421163,875,876,1,NA,2391,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_1_browse_run",195.389571428571,64,530,115.555428571429,28,233,10706.2937142857,10710,10710,627.322571428571,620,620,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_1_browse_run",2514.25528571429,281,8331.8,2504.09742857143,270.5,8279.80000000001,120114.834142857,110374,153873,294.801857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_2_browse_run",2151.48774234898,426,7174,1734.45414730545,329,5345.5,61176.6672808845,29342,125169,564.641323505848,300,1246,1,305.229,37446,"##------ Wed Feb 26 14:48:38 2025 ------##",122.68165868905,"Overall","system","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_2_browse_run",4446.12,3993,9442.8,2336.824,2187,4471.2,29197.44,30019,30403,2050.328,2105,2110,1,NA,125,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_2_browse_run",4057.16614285714,2223,11675,2101.27328571429,575,6786.6,29323.6571428571,29339,29348,1253.07671428571,1246,1246,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_2_browse_run",1665.222,1245.5,4111.5,1665.04042857143,1245.5,4111.5,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_2_browse_run",1527.61471428571,93,6718.30000000001,1500.56028571429,82,6667.1,118487.704857143,113000,151901,307.294857142857,300,300,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_2_browse_run",2065.45901639344,1387,4777.3,1995.32700603969,1356.5,4753.8,118571.768334771,112449,151780,877.436583261432,875,876,1,NA,2318,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_2_browse_run",381.068571428571,68,1334.7,234.730857142857,34,788.1,10706.2931428571,10710,10710,627.322,620,620,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_2_browse_run",3114.79342857143,691,10043,3074.26457142857,685.5,10013.2,119834.309571429,110325,153659,294.877,288,288,1,NA,7000,"##------ Wed Feb 26 14:48:38 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_3_browse_run",2135.25145873117,261,7273.7,1765.62428389561,188,5801.7,61238.0450350095,29343,125128,568.839221302779,300,1246,1,305.714,37704,"##------ Wed Feb 26 14:48:39 2025 ------##",123.330956384071,"Overall","system","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_3_browse_run",4662.36111111111,5353,10202.2,2459.07777777778,1965.5,5913.39999999999,29357.2444444444,30025.5,30079.4,2030.10555555556,2102,2111,1,NA,180,"##------ Wed Feb 26 14:48:39 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
"20250223_151909_100req_3_browse_run",4397.28028571429,2574,12771.2,2642.58471428571,809,8976.3,29323.8492857143,29339,29348,1252.88542857143,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:48:39 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-noreplication","100"
