"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250214_131831_100req_1_browse_run",503.982915990314,122,1599,383.163921339046,74,1306.2,59640.9429468586,27802,124278,566.870566007611,300,1246,1,306.784,37579,"##------ Wed Feb 26 14:44:36 2025 ------##",122.493350370293,"Overall","system","teastore-private-nlb-original","100"
"20250214_131831_100req_1_browse_run",2135.83431952663,2599,4326.2,915.562130177515,1396,1871.4,28239.8520710059,28490,29394.2,2033.95857988166,2104,2110.2,1,NA,169,"##------ Wed Feb 26 14:44:36 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-original","100"
"20250214_131831_100req_1_browse_run",848.608857142857,185,2912.1,302.163571428571,29,1034.1,27787.1347142857,27798,27807,1252.74185714286,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:44:36 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-original","100"
"20250214_131831_100req_1_browse_run",694.511,242,1684.1,694.256,242,1684.1,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:44:36 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-original","100"
"20250214_131831_100req_1_browse_run",228.197142857143,67,575,212.156571428571,55,542.200000000001,118282.041714286,113000,151901,307.250428571429,300,300,1,NA,7000,"##------ Wed Feb 26 14:44:36 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-original","100"
"20250214_131831_100req_1_browse_run",487.373029045643,90,2063.4,471.667634854772,76,2042,119112.071784232,112449,151780,877.183402489627,875,876,1,NA,2410,"##------ Wed Feb 26 14:44:36 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-original","100"
"20250214_131831_100req_1_browse_run",83.9042857142857,37,225,44.566,18,109,10706.2938571429,10710,10710,627.322714285714,620,620,1,NA,7000,"##------ Wed Feb 26 14:44:36 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-original","100"
"20250214_131831_100req_1_browse_run",631.014285714286,161,2147.1,619.353285714286,148,2143.2,112594.296428571,103177,146510,294.781857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:44:36 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-original","100"
"20250214_131831_100req_2_browse_run",296.096516883808,105,825.099999999999,220.792980590269,62,463,59697.7561021005,27802,124278,567.212842329168,300,1246,1,307.062,37610,"##------ Wed Feb 26 14:44:37 2025 ------##",122.483407259772,"Overall","system","teastore-private-nlb-original","100"
"20250214_131831_100req_2_browse_run",392.494186046512,74.5,1651.4,111.383720930233,14,578.1,28251.7906976744,28485,29360.8,2030.87790697674,2101,2109,1,NA,172,"##------ Wed Feb 26 14:44:37 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-original","100"
