"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250205_221724_100req_1_browse_run",77.3085878319113,63,139,50.3266618823592,39,98,59070.609361295,27048,124278,566.873082954576,300,1246,1,306.746,37623,"##------ Wed Feb 26 14:45:02 2025 ------##",122.651966121808,"Overall","system","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_1_browse_run",91.5541401273885,69,155.4,17.5031847133758,12,32,27926.0828025478,27743,29442.2,2041.24203821656,2106,2111,1,NA,157,"##------ Wed Feb 26 14:45:02 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_1_browse_run",101.464,86,170,23.1971428571429,18,43,27040.0877142857,27044,27053,1252.68,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:02 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_1_browse_run",56.5552857142857,47,95,56.2688571428571,47,95,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:02 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_1_browse_run",76.5584285714286,68,124,55.2195714285714,46,92,118692.681857143,113000,151901,307.280571428571,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:02 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_1_browse_run",85.5243309002433,76,153.5,63.3811841038118,52,112,118875.0324412,112449,151780,876.949716139497,875,876,1,NA,2466,"##------ Wed Feb 26 14:45:02 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_1_browse_run",42.5717142857143,37,70,21.8467142857143,16,42,10706.294,10710,10710,627.322857142857,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:02 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_1_browse_run",106.179714285714,91,179,91.2382857142857,75,154,109426.266571429,99599,143097,294.778428571429,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:02 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_2_browse_run",70.8265514950166,58,128,46.3972093023256,35,91.5999999999985,59042.1219933555,27048,124278,567.376504983389,300,1246,1,306.62,37625,"##------ Wed Feb 26 14:45:03 2025 ------##",122.708890483334,"Overall","system","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_2_browse_run",85.8546511627907,66.5,129.7,18.2151162790698,13,35,27895.738372093,27733,29319,2030.54651162791,2103,2111,1,NA,172,"##------ Wed Feb 26 14:45:03 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_2_browse_run",94.4544285714286,82,147,22.4281428571429,17,42,27041.066,27044,27053,1252.92742857143,1246,1246,1,NA,7000,"##------ Wed Feb 26 14:45:03 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_2_browse_run",52.8002857142857,38,104,52.5604285714286,38,104,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:03 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_2_browse_run",68.4094285714286,60,116,50.3115714285714,43,85,118725.426428571,113000,151901,307.259714285714,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:03 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_2_browse_run",78.1121076233184,73,134,56.9164288626172,50,97,118871.301263759,112449,151780,877.280472890338,875,876,1,NA,2453,"##------ Wed Feb 26 14:45:03 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_2_browse_run",39.2711428571429,32,66,20.1347142857143,15,38,10706.2942857143,10710,10710,627.323142857143,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:03 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_2_browse_run",96.2751428571429,82,157,83.5574285714286,69,138,109419.280571429,99599,142883,294.820857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:03 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_3_browse_run",79.7252484455546,65,142,51.7627411383324,41,98.7000000000044,59070.0979433491,27048,124278,567.963968751661,300,1246,1,306.812,37634,"##------ Wed Feb 26 14:45:04 2025 ------##",122.661434363715,"Overall","system","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_3_browse_run",95.5473684210526,85,140,20.8157894736842,13,47,27897.9210526316,27739.5,29140.4,2023.76315789474,2101,2110.1,1,NA,190,"##------ Wed Feb 26 14:45:04 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_3_browse_run",110.238285714286,91,180.1,25.1848571428571,19.5,45,27041.4347142857,27044,27053,1252.91014285714,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:04 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_3_browse_run",58.0848571428571,49,95,57.7342857142857,49,94,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:04 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_3_browse_run",78.7084285714286,71,130,58.2168571428571,49,96,118769.309428571,113000,151901,307.311714285714,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:04 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_3_browse_run",77.3576104746318,71.5,129,55.4124386252046,48,94,119666.463993453,112449,151780,877.112111292962,875,876,1,NA,2444,"##------ Wed Feb 26 14:45:04 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-highreplication","100"
"20250205_221724_100req_3_browse_run",44.9355714285714,39,77,23.7574285714286,18,45.1000000000004,10706.2942857143,10710,10710,627.323142857143,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:04 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-highreplication","100"
