"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250211_120455_100req_1_browse_run",73.3772547352762,63,133,47.996254283665,38,96,58084.1406636028,25561,124278,567.550301516882,300,1246,1,306.968,37643,"##------ Wed Feb 26 14:45:27 2025 ------##",122.628417294311,"Overall","system","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_1_browse_run",94.1294117647059,76.5,177.7,18.9352941176471,11,42,27470.3352941176,26282.5,30131.8,2034.97058823529,2106,2111,1,NA,170,"##------ Wed Feb 26 14:45:27 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_1_browse_run",94.5288571428571,83,160.1,22.4,18,44,25585.8598571429,25556,25567,1253.12857142857,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:27 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_1_browse_run",49.633,42,88,49.3744285714286,42,88,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:27 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_1_browse_run",71.8631428571429,68,120,52.0201428571429,46,87,118798.054571429,113000,151901,307.380428571429,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:27 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_1_browse_run",80.5022240194096,71,144.8,59.9045693489689,49,107,119036.515163769,112449,151780,877.214314597655,875,876,1,NA,2473,"##------ Wed Feb 26 14:45:27 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_1_browse_run",41.3061428571429,35,72.1000000000004,22.5895714285714,16,44,10706.2961428571,10710,10710,627.325,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:27 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_1_browse_run",106.534,95,180,90.0958571428571,78,152,105422.367714286,95788,138889,294.880285714286,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:27 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_2_browse_run",83.9632155128786,71,150,55.3906187571585,44,110,57857.3978371467,25561,124278,566.630556961351,300,1246,1,306.624,37543,"##------ Wed Feb 26 14:45:27 2025 ------##",122.43986119808,"Overall","system","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_2_browse_run",83.88,70,136.4,21.1142857142857,15,40.6,27458.6571428571,26277,30113.4,2031.87428571429,2103,2111,1,NA,175,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_2_browse_run",109.091428571429,95,174,27.0451428571429,24,49,25583.89,25556,25567,1252.43442857143,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_2_browse_run",63.168,54,110,62.6205714285714,53,109,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_2_browse_run",81.8487142857143,79,133,58.0682857142857,53,96,118698.403142857,113000,151901,307.163571428571,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_2_browse_run",91.4797297297297,81,160,67.5544763513514,55,118,118831.450168919,112449,151780,876.980996621622,875,876,1,NA,2368,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_2_browse_run",47.586,40,79,26.1092857142857,20,49,10706.2958571429,10710,10710,627.324714285714,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_2_browse_run",115.581285714286,102,193,99.8518571428571,85,168.1,105313.717857143,95391,138889,294.611857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_3_browse_run",82.3341760025546,66,154,54.8758615184012,42,112,57834.431038612,25560,124278,566.916469304665,300,1246,1,306.957,37579,"##------ Wed Feb 26 14:45:28 2025 ------##",122.424313503194,"Overall","system","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_3_browse_run",89.6094674556213,77,148.8,23.1065088757396,17,49,27477.3195266272,26287,30141.6,2032.92899408284,2105,2111,1,NA,169,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_3_browse_run",106.715571428571,84,186,24.8817142857143,19,48,25585.1467142857,25556,25565,1252.90942857143,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_3_browse_run",69.0551428571429,54,121,68.694,53,120,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_3_browse_run",78.7865714285714,70,138,58.4362857142857,48,106,118500.073428571,113000,151901,307.312857142857,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_3_browse_run",75.4439834024896,69,133,54.9917012448133,46,96,118720.933195021,112449,151780,877.126970954357,875,876,1,NA,2410,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_3_browse_run",45.3471428571429,38,81,23.938,18,48,10706.2957142857,10710,10710,627.324571428571,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_3_browse_run",113.963,95,215,99.1564285714286,79,189.1,105033.193857143,95391,138675,294.840714285714,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:28 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_4_browse_run",78.3942182388766,66,143,51.7005664742959,41,105,57756.3623573841,25561,124278,566.866865242946,300,1246,1,306.654,37601,"##------ Wed Feb 26 14:45:29 2025 ------##",122.61702113783,"Overall","system","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_4_browse_run",90.0182926829268,79.5,155.4,22.3475609756098,14,48,27522.3414634146,26288,30154.1,2039.06097560976,2105,2111,1,NA,164,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_4_browse_run",101.940714285714,90,172,24.3918571428571,21,46,25584.438,25556,25567,1252.57385714286,1246,1246,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_4_browse_run",58.6577142857143,49,105,58.3172857142857,49,104,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_4_browse_run",76.602,71,133,56.0062857142857,48,99,118231.610857143,113000,151901,307.284857142857,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_4_browse_run",77.4472712351252,66,137,56.1448502256873,45,98.4000000000001,118325.221173574,112449,151780,876.769388592532,875,876,1,NA,2437,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_4_browse_run",43.4854285714286,38,77,22.9617142857143,18,44,10706.2951428571,10710,10710,627.324,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_4_browse_run",111.342571428571,98,184,95.9661428571429,81,160,104763.192142857,95342,138675,294.769857142857,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_5_browse_run",85.7660983589116,69,155,56.2229965156794,43,113,57889.7872702609,25560,124278,566.504322153363,300,1246,1,306.618,37597,"##------ Wed Feb 26 14:45:29 2025 ------##",122.618372045999,"Overall","system","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_5_browse_run",114.835526315789,84,253.8,24.6052631578947,12,52.9,27618.2368421053,26330.5,30307.6,2045.13815789474,2106,2111,1,NA,152,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_5_browse_run",115.585142857143,96,192,27.3864285714286,23,51,25584.4298571429,25556,25565,1252.60471428571,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_5_browse_run",61.8744285714286,51,110,61.4164285714286,50,109,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_5_browse_run",84.4762857142857,76,139,62.279,52,104,118374.964714286,113000,151901,307.251428571429,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_5_browse_run",76.6879345603272,68,133,57.1406952965235,48,97,118811.92392638,112449,151780,877.103885480573,875,876,1,NA,2445,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_5_browse_run",45.6281428571429,41,76,24.3857142857143,20,45,10706.2951428571,10710,10710,627.324,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_100req_5_browse_run",123.806142857143,107,206,106.013428571429,89,180,105043.339714286,95342,138889,294.746,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:29 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-lowreplication","100"
"20250211_120455_150req_1_browse_run",89.199935766644,75,164,51.6232902592005,40,104,55710.2695533893,26244,124278,851.18487871231,620,1938,1,306.94,52932,"##------ Wed Feb 26 14:45:30 2025 ------##",172.450641819248,"Overall","system","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_1_browse_run",123.333571428571,108,211,30.3212857142857,26,54,26282.7071428571,26257,26275,1936.96828571429,1939,1940,1,NA,7000,"##------ Wed Feb 26 14:45:30 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_1_browse_run",118.197714285714,100,203,27.4028571428571,24,49,25584.9848571429,25556,25567,1252.66828571429,1246,1246,1,NA,7000,"##------ Wed Feb 26 14:45:30 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_1_browse_run",55.3020491803279,51,91,54.8928961748634,50,91,9118,9118,9118,210,210,210,1,NA,7320,"##------ Wed Feb 26 14:45:30 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_1_browse_run",82.4087142857143,78,135,58.7795714285714,52,99,118962.269857143,113000,151901,307.25,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:30 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_1_browse_run",94.2298571428571,88,156,69.917,61,121,119116.284142857,112449,151780,874.911714285714,875,875,1,NA,7000,"##------ Wed Feb 26 14:45:30 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_1_browse_run",46.6347057985468,42,81,24.3422139905969,20,46,10705.5943866648,10710,10710,628.728166405471,620,620,1,NA,7019,"##------ Wed Feb 26 14:45:30 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_1_browse_run",47.6292791539104,44,84,25.2471472307264,22,49,10886.5018090732,10897,10897,1792.03061508489,1793,1794,1,NA,3593,"##------ Wed Feb 26 14:45:30 2025 ------##",NA,"Logout","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_1_browse_run",127.295714285714,111,212,109.170285714286,93,182,105461.534,95788,138889,294.760142857143,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:30 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",81.4908675799087,68,147,47.4117136495717,36,96,55464.6568927129,26244,124278,851.210668327107,620,1937,1,307.082,52998,"##------ Wed Feb 26 14:45:31 2025 ------##",172.585823981868,"Overall","system","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",115.059142857143,93,201,25.785,21,48,26280.7007142857,26256,26275,1936.77071428571,1939,1940,1,NA,7000,"##------ Wed Feb 26 14:45:31 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",103.351285714286,86,176,23.6161428571429,19,44,25584.0808571429,25556,25565,1252.67414285714,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:31 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",55.4273259773873,46,103,55.1304999318894,46,102,9118,9118,9118,210,210,210,1,NA,7341,"##------ Wed Feb 26 14:45:31 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",82.3472857142857,75,137,59.6805714285714,51,101,118440.652428571,113000,151901,307.221,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:31 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",84.347,73,145,64.5984285714286,53,112,118642.414857143,112449,151780,874.780571428571,875,876,1,NA,7000,"##------ Wed Feb 26 14:45:31 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",41.9104562198923,34,73,21.9516860300368,15,42,10704.209974497,10710,10710,631.518843865118,620,620,1,NA,7058,"##------ Wed Feb 26 14:45:31 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",42.686579605446,35,77,22.626007224229,16,44,10887.076132259,10897,10897,1792.17115865518,1793,1794,1,NA,3599,"##------ Wed Feb 26 14:45:31 2025 ------##",NA,"Logout","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_2_browse_run",109.542142857143,93,185,93.698,77,156,105030.400714286,95391,138889,294.777714285714,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:31 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",87.7381712407684,73,164,50.8231494248531,39,105,55665.2765804733,26244,124278,850.881759628279,620,1938,1,306.843,52943,"##------ Wed Feb 26 14:45:32 2025 ------##",172.541006312675,"Overall","system","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",123.221857142857,105,212,27.4537142857143,23,52,26284.5468571429,26256,26275,1937.65314285714,1939,1940,1,NA,7000,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",115.780857142857,98,204,25.6358571428571,23,48,25585.9225714286,25556,25567,1253.07514285714,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",64.658519934462,53,119.7,64.3147187329328,53,119,9118,9118,9118,210,210,210,1,NA,7324,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",78.8692857142857,73,134,57.5094285714286,50,99,118835.811285714,113000,151901,307.329,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",90.6718571428571,84,152,67.8101428571429,59.5,115,119013.546142857,112449,151780,875.079571428571,875,876,1,NA,7000,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",44.0035335689046,36,82,22.6155477031802,17,45,10703.554770318,10710,10710,632.829399293286,620,620,1,NA,7075,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",44.2516930022573,39,80,22.6137133182844,19,45,10889.8436794582,10897,10897,1793.58239277652,1793,1794,1,NA,3544,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Logout","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_3_browse_run",120.514714285714,105,211,104.382428571429,87,184,105420.923142857,95788,138889,294.930142857143,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_4_browse_run",94.3969495946023,75,172,55.636427207953,40,110,55610.5082308027,26244,124278,850.568520723479,620,1937,1,306.622,52911,"##------ Wed Feb 26 14:45:32 2025 ------##",172.561003450503,"Overall","system","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_4_browse_run",134.015857142857,108,243,31.884,27,56,26282.9088571429,26256,26275,1937.13071428571,1939,1940,1,NA,7000,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_4_browse_run",121.099428571429,95,194.1,27.9608571428571,24,49,25584.3181428571,25556,25567,1252.77914285714,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication","150"
"20250211_120455_150req_4_browse_run",62.9662383816293,51,109,62.6033351558229,50,108.5,9118,9118,9118,210,210,210,1,NA,7316,"##------ Wed Feb 26 14:45:32 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-lowreplication","150"
