"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250211_155001_100req_1_browse_run",64.5013024986709,56,112,42.755980861244,35,82,57238.5177033493,25064,124278,567.510552897395,300,1246,1,307.174,37620,"##------ Wed Feb 26 14:45:51 2025 ------##",122.471302909751,"Overall","system","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_1_browse_run",75.070652173913,70.5,109,19.7880434782609,14,36.7,26810.7336956522,25773,29736.1,2025.30434782609,2099.5,2110.7,1,NA,184,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_1_browse_run",80.9868571428571,74,120,21.1694285714286,16,43,25085.4157142857,25059,25068,1252.25971428571,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_1_browse_run",58.2787142857143,43,111.1,57.9247142857143,43,111,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_1_browse_run",64.2947142857143,61,107,45.3857142857143,41,74,118266.864142857,113000,151901,307.259428571429,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_1_browse_run",60.01026272578,53,101,44.4909688013136,39,72,118764.034482759,112449,151780,876.87315270936,875,876,1,NA,2436,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_1_browse_run",38.4202857142857,32,66,20.2324285714286,14,40,10706.294,10710,10710,627.322857142857,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_1_browse_run",81.811,77,128,69.0675714285714,64,108,102404.950857143,92868,136202,294.733428571429,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_2_browse_run",76.4756997928507,66,135,49.4944229032772,41,96,57499.2184628459,25064,124278,567.453417963563,300,1246,1,307.068,37654,"##------ Wed Feb 26 14:45:51 2025 ------##",122.624304714265,"Overall","system","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_2_browse_run",83.3684210526316,75,127,19.766081871345,13,42,26886.1871345029,25776,29798,2031.00584795322,2105,2111,1,NA,171,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_2_browse_run",100.294,88,157,26.0625714285714,23,47,25086.5092857143,25059,25068.2,1252.59414285714,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_2_browse_run",52.7428571428571,46,87,52.4252857142857,46,86,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_2_browse_run",79.0777142857143,78,127,54.0892857142857,50,91,118742.678857143,113000,151901,307.220285714286,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_2_browse_run",77.4853000402739,73,130,56.4337494965767,51,95.8000000000002,119056.540475232,112449,151780,876.620620217479,875,876,1,NA,2483,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_2_browse_run",44.2697142857143,41,73,23.8555714285714,19,44,10706.2945714286,10710,10710,627.323428571429,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_2_browse_run",105.467714285714,96,170,89.3041428571429,79,147,102755.180714286,92917,136416,294.710714285714,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:51 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_3_browse_run",76.1367427977507,68,132,49.6060816032833,41,96,57140.7950057298,25064,124278,566.076166617808,300,1246,1,306.391,37523,"##------ Wed Feb 26 14:45:52 2025 ------##",122.467696505446,"Overall","system","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_3_browse_run",85.9423076923077,85,129,21.5897435897436,15,47,27021.4679487179,26076,29874.5,2041.84615384615,2106,2111,1,NA,156,"##------ Wed Feb 26 14:45:52 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_3_browse_run",99.2921428571429,91,152,26.292,24,47,25086.913,25059,25068,1252.76357142857,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:45:52 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_3_browse_run",53.6421428571429,47,89,53.2425714285714,46,88,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:45:52 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_3_browse_run",77.0925714285714,75,125,54.2995714285714,49,92,118360.394857143,113000,151901,307.319571428571,300,300,1,NA,7000,"##------ Wed Feb 26 14:45:52 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_3_browse_run",79.4005069708492,76,130,55.7997465145754,50,94,118284.305449937,112405,151780,877.125897760879,875,876,1,NA,2367,"##------ Wed Feb 26 14:45:52 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_3_browse_run",44.9545714285714,40,76,24.5457142857143,20,45,10706.2932857143,10710,10710,627.322142857143,620,620,1,NA,7000,"##------ Wed Feb 26 14:45:52 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-mixedreplication","100"
"20250211_155001_100req_3_browse_run",104.380142857143,97,165,88.1805714285714,80,141,102428.363285714,92917,136416,294.907714285714,288,288,1,NA,7000,"##------ Wed Feb 26 14:45:52 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-mixedreplication","100"
