"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250216_140824_100req_1_browse_run",48.5430899070845,41,90,36.7331274460211,30,73,41969.4101860973,10710,112997,491.916003301297,300,1243,0.745959905220841,306.075,37561,"##------ Wed Feb 26 14:47:26 2025 ------##",122.718288001307,"Overall","system","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_1_browse_run",43.9933333333333,39,85,14.0466666666667,12,26,16233.48,10410,28393.9,1406.50666666667,1313,2105,0.54,NA,150,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_1_browse_run",57.3322857142857,51,104,17.9774285714286,12,37,19673.1491428571,27379,27722,1007.73057142857,1243,1246,0.703428571428571,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_1_browse_run",44.3347142857143,39,77,44.0281428571429,39,76,8189.90057142857,9118,9118,210.24,210,210,0.749428571428571,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_1_browse_run",47.4702857142857,38,88,41.9024285714286,33,74,84608.9898571429,98336,151567,292.718,300,300,0.768,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_1_browse_run",48.2115304852758,39,86,41.905433430112,35,73,86783.8693488179,104339,149995,732.305682289506,873,875,0.773537951057652,NA,2411,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_1_browse_run",29.7514285714286,23,56,17.7227142857143,12,36,9404.94142857143,10710,10710,566.145571428571,620,620,0.786714285714286,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_1_browse_run",64.0384285714286,56,106,60.7395714285714,53,102,73086.174,95745,116891,280.350428571429,287,288,0.717142857142857,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_2_browse_run",49.6542467948718,41,92,37.6183760683761,31,76,41740.1131410256,10710,112997,490.518242521368,300,1243,0.747248931623932,305.599,37440,"##------ Wed Feb 26 14:47:26 2025 ------##",122.513489900163,"Overall","system","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_2_browse_run",47.9328859060403,45,84.4000000000001,15.9395973154362,12,25.4,17310.8322147651,11826,28414,1528.14765100671,1821,2106,0.630872483221476,NA,149,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_2_browse_run",58.1622857142857,52,105,18.1715714285714,12,37,19554.9101428571,27379,27721,1005.80142857143,1243,1246,0.693,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_2_browse_run",47.4877142857143,41,81.1000000000004,46.7692857142857,40,81,8285.18171428571,9118,9118,211.44,210,210,0.772,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_2_browse_run",46.9584285714286,39,85,40.861,35,73,84542.9351428571,98336,151567,291.980714285714,300,300,0.764714285714286,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_2_browse_run",47.4692274116107,37,89,41.3230030554343,33,75,82616.0742034046,103067,125126,720.457442164993,873,875,0.746835443037975,NA,2291,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_2_browse_run",29.3347142857143,23,55,17.566,12,36,9421.078,10710,10710,566.618142857143,620,620,0.789857142857143,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_2_browse_run",67.0798571428571,59,112,63.973,56,106,74038.3372857143,95745,117090,279.408428571429,287,288,0.719285714285714,NA,7000,"##------ Wed Feb 26 14:47:26 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_3_browse_run",47.9821157280311,40,88,36.5011061062395,30,73,41528.1505104081,10710,113000,495.010048242224,300,1243,0.747034835683254,306.254,37519,"##------ Wed Feb 26 14:47:27 2025 ------##",122.509420285123,"Overall","system","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_3_browse_run",48.7,44,87.1,14.4944444444444,11,27,20201.0388888889,26915.5,28437.1,1591.66666666667,1860,2107,0.733333333333333,NA,180,"##------ Wed Feb 26 14:47:27 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
"20250216_140824_100req_3_browse_run",54.3531428571429,49,98,16.613,11,33,19804.258,27384,27721,1008.902,1243,1246,0.704285714285714,NA,7000,"##------ Wed Feb 26 14:47:27 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication","100"
