"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250212_083115_100req_1_browse_run",41.4568187265319,32,78,34.0772549332907,25,68,18390.6012356528,5898,52074,492.492077441346,300,1243,0.753801496631248,306.774,37551,"##------ Wed Feb 26 14:46:39 2025 ------##",122.406070918657,"Overall","system","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_1_browse_run",34.3450292397661,30,59,14.8538011695906,11,33,9120.26315789474,7747,12550,1596.4269005848,1933,2109,0.847953216374269,NA,171,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_1_browse_run",39.7851428571429,33,74,19.3211428571429,13,38,7864.73171428571,7021,11837,1004.12785714286,1243,1246,0.75,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_1_browse_run",61.9284285714286,52,117,61.1125714285714,51,114,5508.75485714286,4306,9118,211.47,210,210,0.685857142857143,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_1_browse_run",39.4342857142857,31,72,36.269,29,65,41302.5841428571,19593,113000,292.840428571429,300,300,0.761142857142857,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_1_browse_run",42.0978991596639,33,78,37.5058823529412,31,66.0999999999999,44944.1878151261,20042,113333,729.68781512605,873,875,0.787394957983193,NA,2380,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_1_browse_run",32.3818571428571,24,60,19.8554285714286,13,37,7030.70628571429,5898,10710,566.486857142857,620,620,0.786285714285714,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_1_browse_run",33.7101428571429,26,62,33.132,26,60,21444.4708571429,5604,54587,279.921142857143,287,288,0.772,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_2_browse_run",38.5591220704682,28,69,31.8043258755381,23,61,16723.1796513791,5898,48911,497.116729553064,300,1243,0.763591433278418,306.961,37634,"##------ Wed Feb 26 14:46:39 2025 ------##",122.601894051687,"Overall","system","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_2_browse_run",34.3373493975904,28,70.5,18.0722891566265,11,36.5,7853.56626506024,7703,12534.5,1555.0421686747,1863.5,2108.5,0.728915662650602,NA,166,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_2_browse_run",35.1831428571429,28,66,16.9575714285714,11,35,7684.27571428571,7020,11835,1016.80357142857,1243,1246,0.757285714285714,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_2_browse_run",59.2727142857143,40,110.1,56.4995714285714,40,109,5669.01085714286,5604,9118,214.08,210,210,0.708428571428571,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_2_browse_run",36.8044285714286,29,63,35.0128571428571,28,59.1000000000004,36211.1998571429,19593,105554,295.824285714286,300,300,0.779428571428571,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_2_browse_run",39.2759319286872,30,78,36.7816045380875,28,71,41169.2062398703,20026,111170,726.460291734198,873,875,0.752431118314425,NA,2468,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
"20250212_083115_100req_2_browse_run",28.9278571428571,22,54,17.0942857142857,12,34,6760.02857142857,5898,10710,571.337714285714,620,620,0.799285714285714,NA,7000,"##------ Wed Feb 26 14:46:39 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-lowreplication","100"
