"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250212_124005_100req_1_browse_run",49.6940583554377,42,93,36.5398408488064,31,71,41234.2816976127,10710,111779.3,496.621883289125,300,1243,0.755490716180371,307.564,37700,"##------ Wed Feb 26 14:47:03 2025 ------##",122.576114239638,"Overall","system","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_1_browse_run",51.3068783068783,48,94,16.1216931216931,11,35.2,18962.1375661376,25458,28149.2,1611.33333333333,1934,2109,0.666666666666667,NA,189,"##------ Wed Feb 26 14:47:03 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_1_browse_run",58.5898571428571,55,106,19.4624285714286,14,39,18437.8425714286,25465,25791,1013.81414285714,1243,1246,0.719714285714286,NA,7000,"##------ Wed Feb 26 14:47:03 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_1_browse_run",45.5731428571429,41,76,45.0781428571429,40,75,8254.01942857143,9118,9118,210.54,210,210,0.772142857142857,NA,7000,"##------ Wed Feb 26 14:47:03 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_1_browse_run",48.2797142857143,40,89,39.7368571428571,34,68,84470.2264285714,98336,151567,294.567285714286,300,300,0.759,NA,7000,"##------ Wed Feb 26 14:47:03 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_1_browse_run",54.2039028275587,43,107,44.3759458383114,37,81,84511.5754679411,104670,147441,720.931899641577,873,875,0.73715651135006,NA,2511,"##------ Wed Feb 26 14:47:03 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_1_browse_run",31.3454285714286,26,57,18.2738571428571,13,35,9488.72971428572,10710,10710,571.207428571429,620,620,0.797571428571429,NA,7000,"##------ Wed Feb 26 14:47:03 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_1_browse_run",63.0208571428571,57,111,57.8882857142857,53,99,70597.7547142857,90157,111426,282.420142857143,287,288,0.738,NA,7000,"##------ Wed Feb 26 14:47:03 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_2_browse_run",47.6504867244901,40,89,34.783294872815,29,68,41993.9698416488,10710,111342,501.667356303546,300,1243,0.762552717434551,307.423,37701,"##------ Wed Feb 26 14:47:03 2025 ------##",122.635586797344,"Overall","system","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_2_browse_run",50.9015544041451,49,90,15.5440414507772,12,28,19389.6787564767,26105,27840.8,1599.9378238342,1867,2109,0.694300518134715,NA,193,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_2_browse_run",55.9744285714286,53,102,18.0055714285714,12,36,18715.6408571429,25759,25791,1031.52957142857,1243,1246,0.738428571428571,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_2_browse_run",40.2111428571429,38,67,39.8865714285714,37,66,8109.476,9118,9118,210.66,210,210,0.728285714285714,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_2_browse_run",47.1151428571429,38,88,38.6852857142857,33,67,85782.4518571429,98336,151567,295.203142857143,300,300,0.775,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_2_browse_run",49.847288676236,40,94,40.2165071770335,35,70,88193.2619617225,104336,150329,737.589314194577,873,875,0.777910685805423,NA,2508,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_2_browse_run",31.1802857142857,25,55,18.4931428571429,13,35,9555.27228571429,10710,10710,573.805714285714,620,620,0.808428571428571,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_2_browse_run",62.8947142857143,55,109,57.4297142857143,51,97,71877.6944285714,90345,111692,282.33,287,288,0.759,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_3_browse_run",42.8094416728585,36,79,31.516585288186,26,61,41470.2406326292,10710,110759.3,494.898338817535,300,1243,0.753794713936949,307.255,37684,"##------ Wed Feb 26 14:47:04 2025 ------##",122.647312492881,"Overall","system","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_3_browse_run",45.8655913978495,45.5,86,14.4247311827957,11,26,18181.4784946237,25438,27452.5,1508.54301075269,1827,2108,0.67741935483871,NA,186,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_3_browse_run",50.4581428571429,46,90,15.9937142857143,11,32,18408.4082857143,25457,25791,1011.852,1243,1246,0.727571428571429,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_3_browse_run",35.0318571428571,30,60,34.7322857142857,30,59,8094.03371428571,9118,9118,210.15,210,210,0.722142857142857,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_3_browse_run",42.3072857142857,34,75,35.7027142857143,30,59,85971.546,98336,151567,293.925714285714,300,300,0.772142857142857,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_3_browse_run",41.7858286629303,35,73,35.5920736589271,31,59,85295.4851881505,103067,147096,716.557245796637,873,875,0.763811048839071,NA,2498,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_3_browse_run",30.1885714285714,24,54,17.9922857142857,12,35,9532.36942857143,10710,10710,571.314142857143,620,620,0.801,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_3_browse_run",56.3454285714286,50,98,52.1617142857143,47,89,70324.3098571429,90047,111426,281.215285714286,287,288,0.744571428571429,NA,7000,"##------ Wed Feb 26 14:47:04 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_4_browse_run",48.2582630378269,41,89,35.811608042867,30,70,41214.5820733195,10710,110486,489.175234760465,300,1243,0.750172422940209,307.503,37698,"##------ Wed Feb 26 14:47:05 2025 ------##",122.593925912918,"Overall","system","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_4_browse_run",52.0789473684211,50,95.2,16.3578947368421,11,30,18100.3947368421,25448,26494.2,1452.41052631579,1821,2101.1,0.715789473684211,NA,190,"##------ Wed Feb 26 14:47:05 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_4_browse_run",56.9662857142857,51,104,19.9007142857143,13,41,17999.5275714286,25448,25791,994.034857142857,1243,1246,0.712428571428571,NA,7000,"##------ Wed Feb 26 14:47:05 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_4_browse_run",40.0112857142857,37,68,39.5384285714286,37,67,8126.08314285714,9118,9118,210.18,210,210,0.736571428571429,NA,7000,"##------ Wed Feb 26 14:47:05 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_4_browse_run",51.0942857142857,41,94,42.5427142857143,36,74,85505.0955714286,98336,151567,290.520428571429,300,300,0.773,NA,7000,"##------ Wed Feb 26 14:47:05 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_4_browse_run",43.6511164274322,37,78,37.1531100478469,32,62,84607.9900318979,103067,124792,720.701754385965,873,875,0.765151515151515,NA,2508,"##------ Wed Feb 26 14:47:05 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_4_browse_run",32.0324285714286,26,58,19.2524285714286,14,38,9420.90614285714,10710,10710,564.091428571429,620,620,0.784285714285714,NA,7000,"##------ Wed Feb 26 14:47:05 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_4_browse_run",62.734,56,107,57.8711428571429,52,97,70101.4448571429,90047,111343.6,277.951857142857,287,288,0.740142857142857,NA,7000,"##------ Wed Feb 26 14:47:05 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_5_browse_run",45.9282563639262,39,83,34.4810809374502,29,66,41785.2281447627,10710,111139,490.780278471595,300,1243,0.76414943933677,307.121,37634,"##------ Wed Feb 26 14:47:05 2025 ------##",122.538022473227,"Overall","system","teastore-private-nlb-withfailures-mixedreplication","100"
"20250212_124005_100req_5_browse_run",48.6766917293233,45,77.8,15.4210526315789,11,27,20435.9172932331,26117,26995,1524.51127819549,1822,2103.8,0.804511278195489,NA,133,"##------ Wed Feb 26 14:47:05 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-mixedreplication","100"
