"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250211_212236_100req_1_browse_run",564.407786226839,70,1867,513.893113419728,55,1786.3,20236.1669701189,7932,68866,437.599202099175,300,875,0.621586162578987,307.843,37348,"##------ Wed Feb 26 14:46:15 2025 ------##",121.321582754846,"Overall","system","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_1_browse_run",217.346714285714,41,945.000000000004,177.813428571429,20,794.1,8141.81414285714,7082,11836,764.113,667,1246,0.493142857142857,NA,7000,"##------ Wed Feb 26 14:46:15 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_1_browse_run",1326.08171428571,763.5,3305,1316.16628571429,763,3300.1,7510.37314285714,9118,9118,215.7,210,210,0.819,NA,7000,"##------ Wed Feb 26 14:46:15 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_1_browse_run",532.758285714286,60,1867,484.605571428571,50,1800.1,43947.0507142857,8160,113000,295.437428571429,300,300,0.522142857142857,NA,7000,"##------ Wed Feb 26 14:46:15 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_1_browse_run",414.971403431588,52,1630,312.137703475583,47,1187.6,50456.5978882534,19979,124278,640.506819181698,817,875,0.639243290805103,NA,2273,"##------ Wed Feb 26 14:46:15 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_1_browse_run",239.682428571429,35,936.1,124.782,22,410,8377.117,9550,10710,552.822285714286,620,620,0.735142857142857,NA,7000,"##------ Wed Feb 26 14:46:15 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_1_browse_run",560.432142857143,46,2108.1,536.975571428571,44,2060.1,23502.037,7342,56394,282.093857142857,287,288,0.532428571428571,NA,7000,"##------ Wed Feb 26 14:46:15 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_2_browse_run",774.88162218482,136,2260,714.63532900537,114,2116,19218.9493735139,7348,53912,420.129491597873,300,819,0.590820442948358,306.643,37431,"##------ Wed Feb 26 14:46:16 2025 ------##",122.06702908594,"Overall","system","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_2_browse_run",52.8888888888889,30,86.8000000000001,35.8541666666667,12,38.7,8032.25694444444,7716.5,12558.7,1448.73611111111,1933,2110,0.590277777777778,NA,144,"##------ Wed Feb 26 14:46:16 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-noreplication","100"
"20250211_212236_100req_2_browse_run",295.617714285714,49,1116,240.620714285714,25,1088,7944.89257142857,7082,11835,700.480857142857,392,1246,0.420857142857143,NA,7000,"##------ Wed Feb 26 14:46:16 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-noreplication","100"
