"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250213_144706_100req_1_browse_run",1243.72769903016,227,4022.9,966.096371096664,157,3582.9,59266.2306831504,27713,124278,568.73388042204,300,1246,1,306.339,37532,"##------ Wed Feb 26 14:50:09 2025 ------##",122.517864196201,"Overall","system","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_1_browse_run",2092.74596774194,668.5,5355.5,1409.39516129032,235.5,4070.5,28418.3951612903,28405,29202.9,2001.32661290323,1940,2111,1,NA,248,"##------ Wed Feb 26 14:50:09 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_1_browse_run",2391.96,271,7917.1,1056.79014285714,48,3930,27696.1898571429,27709,27718,1252.72314285714,1246,1247,1,NA,7000,"##------ Wed Feb 26 14:50:09 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_1_browse_run",1550.961,678.5,3995.6,1550.703,678,3995.6,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:50:09 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_1_browse_run",592.429857142857,95,2006.2,563.424142857143,74,1873.4,118997.192285714,113000,151901,307.203571428571,300,300,1,NA,7000,"##------ Wed Feb 26 14:50:09 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_1_browse_run",1376.48707840561,962,3533.2,1339.61498028909,924,3513,119236.366184845,112449,151780,877.464301357862,875,876,1,NA,2283,"##------ Wed Feb 26 14:50:09 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_1_browse_run",172.914714285714,60.5,461,99.9042857142857,32,225.1,10706.2955714286,10710,10710,627.324428571429,620,620,1,NA,7000,"##------ Wed Feb 26 14:50:09 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_1_browse_run",1437.16371428571,251,4789.2,1422.271,235,4694.6,111354.449,101356,144641,294.798571428571,288,288,1,NA,7000,"##------ Wed Feb 26 14:50:09 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_2_browse_run",1437.78548644338,209,4802.1,1133.61698564593,154,4038,59339.8190324296,27713,124278,567.602339181287,300,1246,1,306.153,37620,"##------ Wed Feb 26 14:50:09 2025 ------##",122.879736602287,"Overall","system","teastore-private-nlb-noreplication-nocaching","100"
"20250213_144706_100req_2_browse_run",4440.78409090909,5591,8088,2133.51136363636,2452.5,3929,28418.5,28400.5,30176.5,2030.0625,2103,2111,1,NA,176,"##------ Wed Feb 26 14:50:09 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-nocaching","100"
