"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250214_214204_100req_1_browse_run",65.3767194359452,54,116,46.703818012505,35,87,54910.3650924571,10766,124278,729.107197020088,300,2095,1,306.832,37585,"##------ Wed Feb 26 14:50:30 2025 ------##",122.493742504041,"Overall","system","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_1_browse_run",51.6666666666667,35,106.2,27.1333333333333,17,61,10882.7696969697,10904,10908,3049.95151515152,3155,3164,1,NA,165,"##------ Wed Feb 26 14:50:30 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_1_browse_run",62.51,61,107,31.3235714285714,27,58,10759.4348571429,10766,10767,2100.78457142857,2095,2097,1,NA,7000,"##------ Wed Feb 26 14:50:30 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_1_browse_run",63.0475714285714,48,102,62.7682857142857,48,102,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:50:30 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_1_browse_run",85.6302857142857,71,157,63.0441428571429,45,119,118525.003714286,113000,151901,307.217428571429,300,300,1,NA,7000,"##------ Wed Feb 26 14:50:30 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_1_browse_run",101.042975206612,83,214,77.7574380165289,57,173,119260.407438017,112449,151780,876.578512396694,875,876,1,NA,2420,"##------ Wed Feb 26 14:50:30 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_1_browse_run",49.5414285714286,44,84,31.7621428571429,25,59,10706.2948571429,10710,10710,627.323714285714,620,620,1,NA,7000,"##------ Wed Feb 26 14:50:30 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_1_browse_run",54.1471428571429,50,103,34.3465714285714,30,66,104234.156428571,104024,150894,294.521714285714,288,288,1,NA,7000,"##------ Wed Feb 26 14:50:30 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_2_browse_run",59.1471309073472,46,113,41.7053119505568,31,81,54689.1038414407,10766,124278,729.512334168043,300,2095,1,306.647,37538,"##------ Wed Feb 26 14:50:31 2025 ------##",122.414372226045,"Overall","system","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_2_browse_run",54.4940476190476,37.5,132.2,30.2083333333333,16,67.3,10893.7261904762,10903,10908,3051.79761904762,3154.5,3164,1,NA,168,"##------ Wed Feb 26 14:50:31 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_2_browse_run",64.1751428571429,53,117,33.5384285714286,25,63,10762.103,10766,10767,2102.18657142857,2095,2097,1,NA,7000,"##------ Wed Feb 26 14:50:31 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_2_browse_run",55.6354285714286,38,110,55.2245714285714,37,109,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:50:31 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_2_browse_run",67.5081428571429,63,122,46.6942857142857,41,86,118432.808428571,113000,151901,307.353285714286,300,300,1,NA,7000,"##------ Wed Feb 26 14:50:31 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
"20250214_214204_100req_2_browse_run",82.2974683544304,66,164,61.3708860759494,47,128.1,118594.532067511,112449,151780,877.426160337553,875,876,1,NA,2370,"##------ Wed Feb 26 14:50:31 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-noreplication-withcaching","100"
