"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250216_172216_100req_1_browse_run",76.5072862175723,46,132,59.7692430874346,32,102,53841.0243674602,10766,124278,730.273486708658,300,2095,1,305.591,37468,"##------ Wed Feb 26 14:50:52 2025 ------##",122.60832288909,"Overall","system","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_1_browse_run",47.4074074074074,36,93,24.1005291005291,19,47,10893.8148148148,10901,10908,3034.2962962963,3138,3164,1,NA,189,"##------ Wed Feb 26 14:50:52 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_1_browse_run",78.2504285714286,50,128,43.5892857142857,24,71.1000000000004,10761.7554285714,10766,10767,2101.97828571429,2095,2097,1,NA,7000,"##------ Wed Feb 26 14:50:52 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_1_browse_run",113.542285714286,64,147,113.262571428571,63,146.1,9118,9118,9118,210,210,210,1,NA,7000,"##------ Wed Feb 26 14:50:52 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_1_browse_run",80.7184285714286,50,155,64.0871428571429,37,114,118469.263571429,113000,151901,307.254714285714,300,300,1,NA,7000,"##------ Wed Feb 26 14:50:52 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_1_browse_run",77.7832382623958,61,161,63.9517332163229,47,134,118602.983764809,112449,151780,877.206230802984,875,876,1,NA,2279,"##------ Wed Feb 26 14:50:52 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_1_browse_run",47.3262857142857,31,97,30.8785714285714,18,66,10706.2952857143,10710,10710,627.324142857143,620,620,1,NA,7000,"##------ Wed Feb 26 14:50:52 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_1_browse_run",63.0692857142857,29,115,46.63,21,77,100224.738571429,98538,145736,294.764571428571,288,288,1,NA,7000,"##------ Wed Feb 26 14:50:52 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_2_browse_run",53.5225648138269,39,110,40.4738877627227,28,85,54001.8223354316,10766,124278,729.092526405633,300,2095,1,305.924,37492,"##------ Wed Feb 26 14:50:53 2025 ------##",122.553313894954,"Overall","system","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_2_browse_run",32.6851851851852,20,91.5,15.9876543209877,11,29.9,10892.3456790123,10903,10908,3056.42592592593,3154.5,3163,1,NA,162,"##------ Wed Feb 26 14:50:53 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
"20250216_172216_100req_2_browse_run",53.0625714285714,44,104,27.8471428571429,20,57,10762.8464285714,10766,10767,2102.58228571429,2095,2097,1,NA,7000,"##------ Wed Feb 26 14:50:53 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication-withmorecaching","100"
