"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250216_202845_100req_1_browse_run",846.454937220685,114,2951.8,743.11606192807,98,2553,21707.0299265801,8445,98002,462.493642264312,300,876,0.6620823579485,306.478,37592,"##------ Wed Feb 26 14:51:15 2025 ------##",122.658070073545,"Overall","system","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_1_browse_run",874.883870967742,273,2104,425.116129032258,91,990.6,9840.2064516129,10413,12544,1119.58709677419,700,2036.2,0.864516129032258,NA,155,"##------ Wed Feb 26 14:51:15 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_1_browse_run",762.190142857143,78,3102.3,443.179857142857,31,1988,8641.85614285714,9584,11841,885.865285714286,1123,1246,0.723285714285714,NA,7000,"##------ Wed Feb 26 14:51:15 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_1_browse_run",1434.92357142857,405,4135,1427.43114285714,405,4135,7492.69971428571,9118,9118,214.47,210,210,0.822142857142857,NA,7000,"##------ Wed Feb 26 14:51:15 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_1_browse_run",845.330428571429,74,2920.1,796.944,67,2759,43858.9138571429,7348,113000,296.219142857143,300,300,0.500571428571429,NA,7000,"##------ Wed Feb 26 14:51:15 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_1_browse_run",483.537956503898,115,1258.4,429.821912187115,97,1179,61612.2248666393,20199,125126,658.346737792368,871,875,0.649569142388182,NA,2437,"##------ Wed Feb 26 14:51:15 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_1_browse_run",286.141857142857,72,966.1,206.695714285714,35,573.1,7981.24971428571,5898,10710,549.674428571429,620,620,0.720714285714286,NA,7000,"##------ Wed Feb 26 14:51:15 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_1_browse_run",1029.40614285714,63,3051.4,957.442142857143,62,2846,26930.487,7342,57644,283.504571428571,287,288,0.543571428571429,NA,7000,"##------ Wed Feb 26 14:51:15 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_2_browse_run",504.715170609281,61,1780,456.109093821755,47,1590,22323.2869386447,9118,98336,460.251214823517,300,1126,0.656618785710471,306.486,37454,"##------ Wed Feb 26 14:51:15 2025 ------##",122.204603146636,"Overall","system","teastore-private-nlb-withfailures-nocaching","100"
"20250216_202845_100req_2_browse_run",154.514450867052,39,425,59.1271676300578,15,177.4,9653.57225433526,9250,12553.4,1411.21387283237,1933,2107,0.872832369942196,NA,173,"##------ Wed Feb 26 14:51:15 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-nocaching","100"
