"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250217_091549_100req_1_browse_run",55.6021536825312,32,103,47.2236639191704,25,83,40404.416352034,9550,120702,531.239696889125,300,1087,0.744988035097049,306.517,37610,"##------ Wed Feb 26 14:51:35 2025 ------##",122.701187862337,"Overall","system","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_1_browse_run",36.3518518518519,20,100,20.5123456790123,11,37.6,9202.29012345679,10879,10885,2002.27160493827,2898,2908,0.654320987654321,NA,162,"##------ Wed Feb 26 14:51:35 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_1_browse_run",39.4522857142857,28,84,26.1675714285714,17,50,8860.40114285714,10262,10766,1284.95014285714,1087,2095,0.617714285714286,NA,7000,"##------ Wed Feb 26 14:51:35 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_1_browse_run",102.745428571429,42,174,102.418142857143,41,174,8749.532,9118,9118,210,210,210,0.895142857142857,NA,7000,"##------ Wed Feb 26 14:51:35 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_1_browse_run",58.8867142857143,39,121,48.126,30,96,87663.486,105554,151901,286.877571428571,300,300,0.745142857142857,NA,7000,"##------ Wed Feb 26 14:51:35 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_1_browse_run",63.5714869281046,40,137,53.3492647058824,35,116,86579.0400326797,104822,147430,567.84477124183,371,875,0.784722222222222,NA,2448,"##------ Wed Feb 26 14:51:35 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_1_browse_run",40.3715714285714,23,73,30.4578571428571,14,53,8596.98857142857,9550,9550,554.016571428571,620,620,0.757857142857143,NA,7000,"##------ Wed Feb 26 14:51:35 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_1_browse_run",34.2132857142857,20,81,27.4247142857143,17,63,72725.8548571429,100932,123503,273.509,288,288,0.697285714285714,NA,7000,"##------ Wed Feb 26 14:51:35 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_2_browse_run",48.6357557674889,32,101,39.2007032873355,24,81,42104.7469497576,9118,121493,548.047098939741,300,1087,0.797458575310352,306.584,37538,"##------ Wed Feb 26 14:51:36 2025 ------##",122.439527176891,"Overall","system","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_2_browse_run",27.5909090909091,16,59,17.9034090909091,10,38,7510.79545454545,6072,10884,1559.47727272727,1156,2908,0.505681818181818,NA,176,"##------ Wed Feb 26 14:51:36 2025 ------##",NA,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_2_browse_run",40.168,27,86.1000000000004,24.3742857142857,15,53,6075.59557142857,5953,7082,1361.534,2085,2095,0.674142857142857,NA,7000,"##------ Wed Feb 26 14:51:36 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
"20250217_091549_100req_2_browse_run",77.0607142857143,50,131,76.7834285714286,50,130,8945.814,9118,9118,210,210,210,0.951,NA,7000,"##------ Wed Feb 26 14:51:36 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-withcaching","100"
