"runId","mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","duration","requests","start","throughput [requests / s]","label","entityType","architectureVariation","loadLevel"
"20250217_130225_100req_1_browse_run",6185.90054906605,4591,16940.7,3902.83024707972,3750,8483.7,41136.5586477903,9550,114455,449.294719276525,300,1084,0.767400549066049,310.771,37154,"##------ Wed Feb 26 14:51:56 2025 ------##",119.554269864305,"Overall","system","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_1_browse_run",9862.16971428571,12329.5,19144.5,3663.16014285714,2987,8594.2,8689.97785714286,9680,10262,900.012285714286,1084,1087,0.694714285714286,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_1_browse_run",5998.07685714286,6048,9765.2,5724.21928571429,5722,9492,8553.65771428571,9118,9118,221.01,210,210,0.836,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_1_browse_run",3606.75742857143,3239.5,7955.1,3483.22485714286,3100,7612,82993.5307142857,98336,151901,298.985714285714,300,300,0.767,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_1_browse_run",3927.51028037383,3785.5,5807,3892.65654205607,3753,5806.1,93885.3920560748,103630,147430,357.626168224299,370,371,0.950934579439252,NA,2140,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_1_browse_run",9502.06242857143,9907,18286.1,4065.40371428571,3914,9021.9,8635.39371428571,9550,10710,573.373,620,620,0.717857142857143,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_1_browse_run",2640.89385714286,2536.5,5682.1,2575.98357142857,2435.5,5656.3,80748.3851428571,111635,132459,280.247571428571,287,288,0.765285714285714,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_2_browse_run",8120.39507323569,7171,17310,5291.73597869507,5201,10572,43093.0974966711,10262,115099.2,429.744181091878,300,742,0.748415446071904,319.688,37550,"##------ Wed Feb 26 14:51:56 2025 ------##",117.45827181502,"Overall","system","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_2_browse_run",9870.23228571429,12881,16577.4,4200.07385714286,3747,8996.2,6811.213,5807,10259,822.454,742,1087,0.396571428571429,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_2_browse_run",6875.46157142857,7416.5,11645.1,6597.61757142857,7027.5,11309.1,8598.67685714286,9118,9118,218.55,210,210,0.849571428571429,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"Home","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_2_browse_run",5873.71671428571,5862.5,12565.5,5583.35142857143,5610.5,10832.6,96575.0724285714,100767,147108,292.581714285714,300,300,0.887285714285714,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"List Products","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_2_browse_run",2879.03256178894,2064,7412,2835.16006276971,2043,7377.6,78811.2891329933,100559,124792,335.128285602197,315,371,0.875637504903884,NA,2549,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_2_browse_run",14948.1814285714,15458.5,28297.3,6268.16357142857,6243.5,12354.2,9046.22442857143,10710,10710,570.950714285714,620,620,0.742285714285714,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"Login","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_2_browse_run",4941.98885714286,4774.5,10181.4,4703.43171428571,4774.5,9872.1,81432.4665714286,71850,128605,278.462428571429,287,288,0.82,NA,7000,"##------ Wed Feb 26 14:51:56 2025 ------##",NA,"Look at Product","requestTrace","teastore-private-nlb-withfailures-withmorecaching","100"
"20250217_130225_100req_3_browse_run",5570.70212709244,4224,13824.5,3773.45340654654,3258.5,8640.5,42204.7025002666,10262,113100,446.642925685041,300,1084,0.747041262394712,314.017,37516,"##------ Wed Feb 26 14:51:57 2025 ------##",119.471238818281,"Overall","system","teastore-private-nlb-withfailures-withmorecaching","100"
