"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
57.513175,43,116,30.5341,20,70,54413.601875,27255,124471,1236.34585,1052,2106,1,17.3873203835469,"Overall","system","teastore-private-nlb-highreplication-nocaching"
107.692,99,156,14.905,13,24,28070.3737,27535.5,30084.9,2106.4657,2109,2111,1,9.28574081640233,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-highreplication-nocaching"
102.0539,93,149,15.0045,13,25,27384.5691,27010.5,29366,1863.9528,1865,1867,1,9.79874360509496,"Add Product to Cart","requestTrace","teastore-private-nlb-highreplication-nocaching"
14.6183,12,24,14.5941,12,24,9118,9118,9118,210,210,210,1,68.4074071540466,"Home","requestTrace","teastore-private-nlb-highreplication-nocaching"
40.0412,36,62,38.2818,34,60,119062.4412,113193,152095,833.8657,834,835,1,24.9742764952099,"List Products","requestTrace","teastore-private-nlb-highreplication-nocaching"
39.8091,35,62,38.2631,34,59,118925.4677,112331,151662,959.5333,960,961,1,25.1198846494897,"List Products with different page","requestTrace","teastore-private-nlb-highreplication-nocaching"
40.0705,35,60,24.2284,20,39,10447.9833,10448,10449,1146.0833,1146,1147,1,24.956015023521,"Login","requestTrace","teastore-private-nlb-highreplication-nocaching"
22.9591,20,36,7.4708,6,13,10821.84,10823,10823,1949.408,1952,1953,1,43.5557142919365,"Logout","requestTrace","teastore-private-nlb-highreplication-nocaching"
92.8613,85,138,91.5251,83.5,136,111478.14,106983,142485,821.458,822,823,1,10.7687486606369,"Look at Product","requestTrace","teastore-private-nlb-highreplication-nocaching"
9.501,8,14.1,9.447,8,14.1,9117.71,9118,9118,210,210,210,1,105.252078728555,"Home - discrete","requestTrace","teastore-private-nlb-highreplication-nocaching"
29.8148514851485,27,41,18.0089108910891,16,26,10451.1089108911,10448,10449,1151.63663366337,1146,1147,1,33.5403314183243,"Login - discrete","requestTrace","teastore-private-nlb-highreplication-nocaching"
28.0563106796117,26,40.1,26.7485436893204,24,39,117093.566990291,105220,151567,264.683495145631,236,236,1,35.6426050245692,"List Products - discrete","requestTrace","teastore-private-nlb-highreplication-nocaching"
62.0057692307692,61,89,60.9548076923077,60,88,108705.335576923,100658,146087,258.125961538462,224,224,1,16.1275315572372,"Look at Product - discrete","requestTrace","teastore-private-nlb-highreplication-nocaching"
74.6923076923077,71,103,11.2913461538462,9,19,28208.825,27669,27688,1128.30769230769,1126,1127,1,13.3882595262616,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-highreplication-nocaching"
17.216,15,24,5.752,5,9,10562.42,10563,10563,977.151,980,980,1,58.0855018587361,"Logout - discrete","requestTrace","teastore-private-nlb-highreplication-nocaching"
