"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
46.77625,40,87,26.5886125,19,56,54563.711875,27830,124471,1236.3630875,1052,2105,1,21.3783704337137,"Overall","system","teastore-private-nlb-highreplication-withcaching"
75.9937,68,117,12.9168,11,22,28308.284,28034,31213.1,2106.4057,2109,2111,1,13.1589855474862,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-highreplication-withcaching"
72.3957,65,112,12.4579,10,21,27626.2545,27336,30421,1863.9678,1865,1867,1,13.8129750800117,"Add Product to Cart","requestTrace","teastore-private-nlb-highreplication-withcaching"
15.6906,13,26,15.6652,13,26,9118,9118,9118,210,210,210,1,63.7324257835902,"Home","requestTrace","teastore-private-nlb-highreplication-withcaching"
38.8248,34,62,36.955,33,59,118836.9005,113193,152095,833.8599,834,835,1,25.7567328099565,"List Products","requestTrace","teastore-private-nlb-highreplication-withcaching"
38.1125,33,61,36.5006,32,59,118757.4066,112331,151662,959.5061,960,961,1,26.2381108560184,"List Products with different page","requestTrace","teastore-private-nlb-highreplication-withcaching"
42.2083,37,64.1000000000004,25.176,21,41,10447.9775,10448,10449,1146.0775,1146,1147,1,23.6920226590505,"Login","requestTrace","teastore-private-nlb-highreplication-withcaching"
24.3604,21,40,7.8302,6,14,10821.84,10823,10823,1949.5746,1952,1953,1,41.0502290602782,"Logout","requestTrace","teastore-private-nlb-highreplication-withcaching"
66.624,59,106,65.2072,58,104,112593.0319,107903.5,145821,821.5131,822,823,1,15.0096061479347,"Look at Product","requestTrace","teastore-private-nlb-highreplication-withcaching"
11.506,9,18,11.435,9,18,9117.71,9118,9118,210,210,210,1,86.9111767773336,"Home - discrete","requestTrace","teastore-private-nlb-highreplication-withcaching"
33.5277227722772,30,50,19.8079207920792,17,31,10451.1069306931,10448,10449,1151.62871287129,1146,1147,1,29.8260638454951,"Login - discrete","requestTrace","teastore-private-nlb-highreplication-withcaching"
22.6106796116505,21,33,21.5359223300971,20,32,113688.20776699,105220,151567,264.529126213592,236,236,1,44.2268882304951,"List Products - discrete","requestTrace","teastore-private-nlb-highreplication-withcaching"
41.8038461538462,39,62,40.8990384615385,38,61,102131.680769231,97730,117135,257.958653846154,224,224,1,23.921243904683,"Look at Product - discrete","requestTrace","teastore-private-nlb-highreplication-withcaching"
57.4692307692308,47,87,9.92019230769231,8,16,27732.5173076923,27460,27470,1126.75865384615,1126,1126,1,17.4006157140945,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-highreplication-withcaching"
15.995,14,23,5.136,4,8,10562.42,10563,10563,978.779,980,980,1,62.5195373554236,"Logout - discrete","requestTrace","teastore-private-nlb-highreplication-withcaching"
