"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
59.9767,44,120,31.550425,20,75,54477.587,27583,124471,1236.3800125,1052,2105,1,16.6731414032449,"Overall","system","teastore-private-nlb-lowreplication-nocaching"
112.9088,103,160,14.8764,12,24,28422.723,27741,31167,2106.5474,2109,2111,1,8.8567055889355,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication-nocaching"
106.8085,98,152,14.9343,12,24,27761.7307,27038,30459,1863.9729,1865,1867,1,9.36255073332179,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication-nocaching"
14.6505,12,25,14.6151,12,25,9118,9118,9118,210,210,210,1,68.2570560731716,"Home","requestTrace","teastore-private-nlb-lowreplication-nocaching"
41.7967,37,64,39.6603,35,61,118519.8644,113193,152095,833.8613,834,835,1,23.9253338182201,"List Products","requestTrace","teastore-private-nlb-lowreplication-nocaching"
41.6517,36,64,39.6669,34,61,118453.4103,112331,151662,959.4833,960,961,1,24.0086238977041,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication-nocaching"
40.094,35,62,23.9967,20,40,10447.9831,10448,10449,1146.0831,1146,1147,1,24.9413877388138,"Login","requestTrace","teastore-private-nlb-lowreplication-nocaching"
23.324,20,38,7.7047,6,14,10821.84,10823,10823,1949.5977,1952,1953,1,42.8742925741725,"Logout","requestTrace","teastore-private-nlb-lowreplication-nocaching"
98.5794,90,142,96.949,88,140,112275.1445,108504,144877,821.4944,822,823,1,10.1441071866942,"Look at Product","requestTrace","teastore-private-nlb-lowreplication-nocaching"
8.566,8,12,8.511,8,12,9117.71,9118,9118,210,210,210,1,116.740602381508,"Home - discrete","requestTrace","teastore-private-nlb-lowreplication-nocaching"
26.5544554455446,25,36,16.4425742574257,15,22,10451.1306930693,10448,10449,1151.65841584158,1146,1147,1,37.6584638329605,"Login - discrete","requestTrace","teastore-private-nlb-lowreplication-nocaching"
21.4116504854369,20,30.1,20.4757281553398,19,29,108138.417475728,105220,123944,264.677669902913,236,236,1,46.7035458420241,"List Products - discrete","requestTrace","teastore-private-nlb-lowreplication-nocaching"
63.8375,62,90,62.7769230769231,61,89,110606.182692308,108221,123122,257.923076923077,224,224,1,15.6647738398277,"Look at Product - discrete","requestTrace","teastore-private-nlb-lowreplication-nocaching"
83.5201923076923,71.5,122.1,11.8615384615385,9,21,29694.0586538462,29679,29685,1127.81346153846,1126,1126,1,11.9731525080301,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-lowreplication-nocaching"
14.311,13,21,4.468,4,7,10562.42,10563,10563,978.372,980,980,1,69.8763189155195,"Logout - discrete","requestTrace","teastore-private-nlb-lowreplication-nocaching"
