"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
47.679875,40,88,26.5717,19,57,54178.4619875,26663,124471,1236.3868125,1052,2105,1,20.9732093467107,"Overall","system","teastore-private-nlb-lowreplication-withcaching"
78.6285,72,117,12.3354,10,20,27838.8833,27150,32282.4000000002,2106.4859,2109,2111,1,12.7180348092613,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication-withcaching"
74.7849,68,111,12.1522,10,20,27151.8662,26632,31655.9000000005,1864.0058,1865,1867,1,13.3716833210982,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication-withcaching"
15.6772,13,25,15.6406,13,25,9118,9118,9118,210,210,210,1,63.7869007220677,"Home","requestTrace","teastore-private-nlb-lowreplication-withcaching"
38.9078,34,61,36.5846,32,57,118681.119,113193,152095,833.8911,834,835,1,25.701787302289,"List Products","requestTrace","teastore-private-nlb-lowreplication-withcaching"
38.5039,34,61,36.461,32,57,118604.8692,112331,151662,959.4658,960,961,1,25.9713951054309,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication-withcaching"
40.3397,36,60,23.3111,20,37,10447.9961,10448,10449,1146.0961,1146,1147,1,24.7894753803325,"Login","requestTrace","teastore-private-nlb-lowreplication-withcaching"
24.9194,22,39,8.1625,7,14,10821.84,10823,10823,1949.6308,1952,1953,1,40.1293771118085,"Logout","requestTrace","teastore-private-nlb-lowreplication-withcaching"
69.6776,63,106,67.9262,61,104,110763.1221,107154,141727,821.519,822,823,1,14.3518146434435,"Look at Product","requestTrace","teastore-private-nlb-lowreplication-withcaching"
10.575,9,16,10.511,9,16,9117.71,9118,9118,210,210,210,1,94.5626477541371,"Home - discrete","requestTrace","teastore-private-nlb-lowreplication-withcaching"
27.8693069306931,26,39,16.6158415841584,15,24,10451.1297029703,10448,10449,1151.65049504951,1146,1147,1,35.8817677987779,"Login - discrete","requestTrace","teastore-private-nlb-lowreplication-withcaching"
20.9504854368932,20,31,19.7203883495146,19,29,119471.140776699,123944,151567,264.68932038835,236,236,1,47.7315908985588,"List Products - discrete","requestTrace","teastore-private-nlb-lowreplication-withcaching"
40.0269230769231,38,59,38.8894230769231,37,57.1,115408.684615385,113415,145788.9,258.291346153846,224,224,1,24.9831843951187,"Look at Product - discrete","requestTrace","teastore-private-nlb-lowreplication-withcaching"
49.7144230769231,45,75,8.58653846153846,7,15,26753.7740384615,26307,26319,1128.08942307692,1126,1126,1,20.1148869504671,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-lowreplication-withcaching"
15.839,15,23,5.385,5,8,10562.42,10563,10563,977.965,980,980,1,63.1352989456405,"Logout - discrete","requestTrace","teastore-private-nlb-lowreplication-withcaching"
