"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
49.0233125,38,96,29.8478375,22,61,46137.4253125,12518,122504,1197.3273375,961,2101,0.9550125,20.3984583865074,"Overall","system","teastore-private-nlb-withfailures-highreplication-nocaching"
75.0927,64,135,17.0284,14,29,16900.7145,12561,28017.1,1995.3513,2108,2111,0.9044,13.316873677468,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
70.8504,59,129,17.1787,14,30,16464.5183,11867,27943.1,1791.6493,1865,1867,0.9122,14.1142463557016,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
17.2012,14,29,17.1749,14,29,9015.8961,9118,9118,210,210,210,0.9903,58.1354789200753,"Home","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
45.8635,40,74,43.7436,38,71,114938.9993,113193,152095,825.7183,834,835,0.9757,21.8038309330949,"List Products","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
45.3642,39,74,43.4395,38,71,113852.2091,111052,151662,928.321,960,961,0.9656,22.0438142852734,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
47.6025,41,76,29.0252,24,50,10322.6806,10448,10449,1137.2619,1146,1147,0.9875,21.0073000367628,"Login","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
27.1142,23,45,9.1075,7,17,10632.1571,10823,10823,1876.6803,1951,1953,0.9824,36.881043881066,"Logout","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
63.0978,50,120,62.0849,49,119,76972.2275,71452,116020,813.6366,822,823,0.922,15.8484130983965,"Look at Product","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
10.029,9,15,9.97,9,15,9029.836,9118,9118,210,210,210,0.991,99.7108385681524,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
28.0861386138614,26,38,16.8158415841584,15,24,10323.8534653465,10448,10449,1136.48811881188,1146,1147,0.99009900990099,35.604752000564,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
13.352427184466,15,29,12.6796116504854,15,27,66142.0417475728,98002,123944,166.42427184466,236,236,0.593203883495146,74.8927506725805,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
18.2259615384615,15,41,17.6971153846154,15,40.1,54601.2009615385,53612,102840,211.2625,224,224,0.777884615384615,54.8667897652335,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
41.5375,35.5,74,12.4663461538462,9,21,15902.6884615385,11511,26950,1024.93461538462,1126,1126,0.842307692307692,24.0746313572073,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
15.627,14,22,5.178,4,8,10475.325,10563,10563,972.181,980,980,0.993,63.9918090484418,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-nocaching"
