"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
30.5994125,25,57,23.5760125,17,47,32292.28615,10449,107618,1431.82835,961,3151,0.9763375,32.6803660037591,"Overall","system","teastore-private-nlb-withfailures-highreplication-withcaching"
32.8658,28,56,18.1961,15,33,8247.8941,6097,10908,2979.3011,3160,3164,0.966,30.4267658173542,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
32.8252,28,55,18.24,15,33,8167.2939,6452,10790,2681.5768,2799,2802,0.9666,30.4643993029745,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
9.8122,7,19,9.7918,7,19,6582.4857,4306,9118,210,210,210,0.9932,101.9139438658,"Home","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
36.6672,31,62,34.5693,29,58,90980.0632,100960,147301,825.2098,834,835,0.9897,27.2723305842824,"List Products","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
37.346,31,62,35.58,29,59,78227.2926,98939,142536.8,926.7491,960,961,0.9903,26.7766293578964,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
50.6389,40,88,39.1829,29,72,7899.213,5637,10449,1136.6234,1146,1147,0.9878,19.7476643449996,"Login","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
21.8941,18,39,11.1367,8,21,8236.4792,6011,10823,1882.4223,1952,1953,0.9897,45.6744054334273,"Logout","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
22.7459,16.5,44,21.9113,16,43,49997.5675,50043,107587.1,812.7443,822,823,0.9274,43.9639671325382,"Look at Product","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
5.168,4,8,5.114,4,8,8022.741,9118,9118,210,210,210,0.996,193.498452012384,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
25.0524752475248,22,36,18.6910891089109,16,28,9218.67425742574,10447,10449,1137.4099009901,1146,1147,0.984158415841584,39.9162154685215,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
4.5368932038835,0,14.1,4.12135922330097,0,13,25367.5203883495,1290,105220,94.3980582524272,0,236,0.312621359223301,220.415150866681,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
5.92692307692308,6,11,5.70192307692308,6,11,4668.60384615385,5604,6065,167.456730769231,224,224,0.0375,168.721609344581,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
11.2009615384615,11,19,6.78846153846154,6,11,8608.21442307692,7082,10433,1255.70288461538,1917,1921,0.593269230769231,89.278049617993,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
10.03,9,15,5.009,4,8,8849.466,10563,10563,963.203,980,980,0.986,99.7008973080758,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication-withcaching"
