"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
51.2440875,41,98,29.9018625,21,63,49423.2813375,24573,124471,1200.7765125,961,2103,0.964275,19.5144464227215,"Overall","system","teastore-private-nlb-withfailures-lowreplication-nocaching"
80.5874,73,131,15.6573,13,27,21390.4547,26718,31791.1,2014.5868,2108,2111,0.9263,12.4088877417562,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
76.792,70,124,15.8391,13,27,20917.477,26025,31210,1800.2792,1865,1867,0.9315,13.0221898114387,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
17.3707,14,30,17.3273,14,30,9015.0434,9118,9118,210,210,210,0.9872,57.5682039296056,"Home","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
44.0724,38,71,41.0556,36,66,115755.6284,113193,152095,822.2063,834,835,0.9814,22.6899374665323,"List Products","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
43.9822,38,70,41.08,36,65,114552.9905,112115,151662,934.2945,960,961,0.9694,22.7364706631319,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
46.9711,41,73,27.9027,23,46,10320.3844,10448,10449,1132.4335,1146,1147,0.9865,21.2896866371024,"Login","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
28.3456,24,47,10.1175,8,19,10639.0435,10823,10823,1882.5208,1952,1953,0.9786,35.2788439828404,"Logout","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
71.8313,65,119,70.2354,63,117,92795.2288,100162,142067,809.891,822,823,0.9533,13.9215077549759,"Look at Product","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
10.796,9,16,10.747,9,16,9060.496,9118,9118,210,210,210,0.997,92.6268988514265,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
27.9940594059406,26,39,16.8168316831683,15,24,10309.9653465347,10448,10449,1131.15148514851,1146,1147,0.982178217821782,35.7218646105963,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
20.478640776699,20,32,19.4417475728155,19,29,100773.253398058,105220,151567,239.044660194175,236,236,0.881553398058252,48.8313658559712,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
29.9836538461538,22,69,29.3865384615385,21,69,54668.7221153846,51740,101022,185.280769230769,223,224,0.683653846153846,33.3515056280666,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
31.2144230769231,28,55,8.05480769230769,7,13,16829.3990384615,11508,27832,1028.5375,1126,1127,0.859615384615385,32.0364722915319,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
14.572,13,21,4.635,4,7,10457.718,10563,10563,969.504,980,980,0.989,68.6247598133407,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-nocaching"
