"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
28.68835,24,53,21.1856875,17,42,48278.03515,11988,123648,1445.805325,965,3159,0.976625,34.8573549890461,"Overall","system","teastore-private-nlb-withfailures-lowreplication-withcaching"
29.8678,26,49,15.3022,12,27,11727.8026,12073,12078,3025.723,3166,3174,0.9661,33.4808723776107,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
29.7959,26,49,15.1428,12,26,11643.5856,11955,11959,2708.8593,2802,2807,0.969,33.5616645243137,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
9.1837,7,18,9.1266,7,18,10120.8853,10283,10283,210,210,210,0.9913,108.888574321896,"Home","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
35.7656,30,60,32.176,28,54,116402.1948,111066,150278,827.3628,836,837,0.9885,27.9598273201065,"List Products","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
37.0536,32,62,33.5749,29,56,116332.1239,112307,151953,939.5458,962,964,0.9874,26.987930997258,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
39.7904,34,64,28.7954,24,48,11420.3823,11614,11615,1137.7795,1147,1148,0.9884,25.1316900558929,"Login","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
21.3212,17,37,10.8849,8,20,11776.9543,11988,11988,1902.3265,1954,1956,0.9886,46.9016753278427,"Logout","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
26.7286,20,52,24.4827,19,48,96800.3524,101511,143656,814.8457,823,824,0.9337,37.4131080565387,"Look at Product","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
5.511,5,8,5.468,5,8,10259.402,10283,10283,210,210,210,0.995,181.455271275631,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
21.4069306930693,19,31,16.0980198019802,14,24,11495.1920792079,11614,11615,1131.55841584158,1147,1148,0.98019801980198,46.7138430229869,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
9.1504854368932,10,18,8.36990291262136,9,16,77222.672815534,103025,124884,193.894174757282,236,237,0.698058252427184,109.283819628647,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
5.01730769230769,5,10,4.83557692307692,5,9,3925.85384615385,3457,5604,165.152884615385,224,225,0.0365384615384615,199.310080490609,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
8.69134615384615,8,16,5.60480769230769,5,9,9229.39903846154,6785,11602,1107.26538461538,345,1924,0.499038461538462,115.056975329129,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
9.31,8,14,4.552,4,7,11705.219,11728,11728,975.237,980,980,0.997,107.411385606874,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication-withcaching"
