"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
50.8427125,42,95,28.981825,21,62,55159.0067625,28378,124471,1236.4800375,1052,2105,1,19.6685021476775,"Overall","system","teastore-private-nlb-rds-single-highreplication"
82.4451,74,129.1,13.8785,11,24,28968.0367,28992,32992,2106.8105,2109,2111,1,12.1292836081223,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-highreplication"
78.8178,71,124.1,13.7441,11,24,28289.0257,28298,30585.1,1864.0764,1865,1867,1,12.6874893742276,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-highreplication"
16.8355,14,29,16.8122,14,29,9118,9118,9118,210,210,210,1,59.3982952689258,"Home","requestTrace","teastore-private-nlb-rds-single-highreplication"
42.0179,37,67,40.1558,35,64,119005.3672,113193,152095,833.8851,834,835,1,23.7993807401131,"List Products","requestTrace","teastore-private-nlb-rds-single-highreplication"
41.1415,36,66,39.523,35,64,118910.6441,112331,151662,959.4943,960,961,1,24.3063573277591,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-highreplication"
46.433,41,73,28.0392,23,47,10447.9901,10448,10449,1146.0901,1146,1147,1,21.5364072965348,"Login","requestTrace","teastore-private-nlb-rds-single-highreplication"
26.1176,22,43,8.2519,6,15,10821.84,10823,10823,1949.8975,1952,1953,1,38.2883572763194,"Logout","requestTrace","teastore-private-nlb-rds-single-highreplication"
72.9333,65,118,71.4499,64,116,115711.1503,109835,148768,821.5864,822,823,1,13.7111580032715,"Look at Product","requestTrace","teastore-private-nlb-rds-single-highreplication"
9.978,9,15,9.928,9,15,9117.71,9118,9118,210,210,210,1,100.220485067148,"Home - discrete","requestTrace","teastore-private-nlb-rds-single-highreplication"
32.3009900990099,30,44,19.1950495049505,17,28,10451.1138613861,10448,10449,1151.63861386139,1146,1147,1,30.9588033349681,"Login - discrete","requestTrace","teastore-private-nlb-rds-single-highreplication"
24.5077669902913,22,36,23.3631067961165,21,34,112781.22038835,112666,123944,264.593203883495,236,236,1,40.8033910390999,"List Products - discrete","requestTrace","teastore-private-nlb-rds-single-highreplication"
48.8836538461538,42,79,47.7105769230769,41,78,113434.615384615,116997,147110,258.539423076923,224,224,1,20.4567359704164,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-single-highreplication"
52.0394230769231,49,78,9.55,8,15.1,28138.6317307692,27937,27953,1128.1,1126,1127,1,19.2162007353892,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-single-highreplication"
15.044,13,22,4.516,4,7,10562.42,10563,10563,977.151,980,980,1,66.4716830630151,"Logout - discrete","requestTrace","teastore-private-nlb-rds-single-highreplication"
