"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
48.542725,41,90,27.0996125,20,58,55200.12705,28382.5,124471,1236.3504875,1052,2105,1,20.6004092271293,"Overall","system","teastore-private-nlb-rds-single-lowreplication"
79.5638,72,120,12.4003,10,21,29186.019,28994,32994,2106.5658,2109,2111,1,12.5685299093306,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-lowreplication"
76.4942,70,116,12.1805,10,20.1000000000004,28498.8168,28299,32315,1864.0464,1865,1867,1,13.0728865717924,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-lowreplication"
15.8026,13,26,15.7743,13,26,9118,9118,9118,210,210,210,1,63.2807259564882,"Home","requestTrace","teastore-private-nlb-rds-single-lowreplication"
39.7105,35,62,37.4422,33,58,118883.0637,113193,152095,833.8657,834,835,1,25.1822565820123,"List Products","requestTrace","teastore-private-nlb-rds-single-lowreplication"
39.3532,35,62,37.3318,33,59,118749.6205,112331,151662,959.5142,960,961,1,25.4108941585437,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-lowreplication"
41.9983,38,62,24.5775,21,38,10448.0001,10448,10449,1146.1001,1146,1147,1,23.8104875673539,"Login","requestTrace","teastore-private-nlb-rds-single-lowreplication"
24.7061,22,39,8.0352,6,14,10821.84,10823,10823,1949.1963,1952,1953,1,40.475833903368,"Logout","requestTrace","teastore-private-nlb-rds-single-lowreplication"
70.7131,64,110,69.0551,62,107,115895.6563,109851,148940,821.5154,822,823,1,14.1416512640515,"Look at Product","requestTrace","teastore-private-nlb-rds-single-lowreplication"
10.644,10,15,10.56,10,15,9117.71,9118,9118,210,210,210,1,93.9496429913566,"Home - discrete","requestTrace","teastore-private-nlb-rds-single-lowreplication"
32.439603960396,30,44,19.4415841584158,17,28,10451.100990099,10448,10449,1151.62772277228,1146,1147,1,30.8265169088023,"Login - discrete","requestTrace","teastore-private-nlb-rds-single-lowreplication"
28.9776699029126,26,43,27.8281553398058,25,41.1,109539.97184466,105220,123944,264.680582524272,236,236,1,34.5093309210306,"List Products - discrete","requestTrace","teastore-private-nlb-rds-single-lowreplication"
47.2096153846154,44,73,45.9865384615385,43,71.1,112920.447115385,101937,147443,258.210576923077,224,224,1,21.1821255448287,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-single-lowreplication"
50.5403846153846,47,71,8.27692307692308,7,13,28244.9105769231,27943,27951,1128.49134615385,1126,1127,1,19.7861572999505,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-single-lowreplication"
15.406,14,21,4.598,4,7,10562.42,10563,10563,978.779,980,980,1,64.9097754121771,"Logout - discrete","requestTrace","teastore-private-nlb-rds-single-lowreplication"
