"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
54.3919125,43,105,28.750875,19,67,55111.5996625,28380,124471,1236.372525,1052.5,2105,1,18.3850862019239,"Overall","system","teastore-private-nlb-rds-single-nocaching"
98.1977,92,133,14.5638,12,23,29174.707,28995,32990.1,2106.475,2109,2111,1,10.1835379036373,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-nocaching"
93.1624,87,127,14.4566,12,23,28486.5436,28299,32315,1863.9283,1865,1867,1,10.733944166316,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-nocaching"
14.3048,12,24,14.2442,12,24,9118,9118,9118,210,210,210,1,69.9066047760192,"Home","requestTrace","teastore-private-nlb-rds-single-nocaching"
40.4071,35,63,36.552,32,56,118629.7097,113193,152095,833.8678,834,835,1,24.7481259481626,"List Products","requestTrace","teastore-private-nlb-rds-single-nocaching"
39.8102,35,62,35.9518,32,55.1000000000004,118550.6966,112331,151662,959.4229,960,961,1,25.1191905592034,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-nocaching"
37.9432,34,57,21.3138,18,33,10447.9728,10448,10449,1146.0728,1146,1147,1,26.3551835374982,"Login","requestTrace","teastore-private-nlb-rds-single-nocaching"
25.2515,21,41,9.4234,7,18,10821.84,10823,10823,1949.7558,1952,1953,1,39.6016078252777,"Logout","requestTrace","teastore-private-nlb-rds-single-nocaching"
86.0584,79,120,83.5014,77,117,115663.3276,109556,148940,821.4576,822,823,1,11.6200161750625,"Look at Product","requestTrace","teastore-private-nlb-rds-single-nocaching"
10.192,9,14,10.141,9,14,9117.71,9118,9118,210,210,210,1,98.116169544741,"Home - discrete","requestTrace","teastore-private-nlb-rds-single-nocaching"
29.6495049504951,28,41,18.0643564356436,16,26,10451.1554455446,10448,10449,1151.67623762376,1146,1147,1,33.7273759433647,"Login - discrete","requestTrace","teastore-private-nlb-rds-single-nocaching"
27.3009708737864,25,38.1,25.8194174757282,24,36.1,111194.629126214,112666,123944,264.674757281553,236,236,1,36.628733997155,"List Products - discrete","requestTrace","teastore-private-nlb-rds-single-nocaching"
58.3721153846154,55,80,57.0682692307692,54,78,106131.315384615,100505,124471,258.431730769231,224,224,1,17.1314675408108,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-single-nocaching"
71.4711538461538,64,97,10.4365384615385,8,16,28125.1201923077,27931,27957,1127.72307692308,1126,1126,1,13.9916588187811,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-single-nocaching"
14.508,13,20,4.655,4,7,10562.42,10563,10563,978.372,980,980,1,68.927488282327,"Logout - discrete","requestTrace","teastore-private-nlb-rds-single-nocaching"
