"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
53.3097,45,99,29.2092125,21,63,55164.2803,28381,124471,1236.361275,1052,2105,1,18.7583122771278,"Overall","system","teastore-private-nlb-rds-single-noreplication"
86.3229,79,129,13.9509,11,24,29179.1775,28994,32992.1,2106.5212,2109,2111,1,11.5844115524386,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication"
82.8506,76,124,13.9707,11,24,28492.4329,28298,32309,1863.9812,1865,1867,1,12.0699186246086,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-noreplication"
16.8209,14,28,16.7551,14,28,9118,9118,9118,210,210,210,1,59.449851078123,"Home","requestTrace","teastore-private-nlb-rds-single-noreplication"
45.1262,40,71,40.4592,36,63,118772.6917,113193,152095,833.8443,834,835,1,22.1600755215374,"List Products","requestTrace","teastore-private-nlb-rds-single-noreplication"
44.646,39,70.1000000000004,39.9916,35,63,118690.2717,112331,151662,959.4511,960,961,1,22.3984231510102,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-noreplication"
43.732,39,65,24.0492,21,37,10447.9955,10448,10449,1146.0955,1146,1147,1,22.8665508094759,"Login","requestTrace","teastore-private-nlb-rds-single-noreplication"
29.3029,25,47,10.2478,7,20,10821.84,10823,10823,1949.5207,1952,1953,1,34.1263151428698,"Logout","requestTrace","teastore-private-nlb-rds-single-noreplication"
77.6761,70,121,74.2492,67,116,115791.8331,109650,148996,821.4762,822,823,1,12.8739728178938,"Look at Product","requestTrace","teastore-private-nlb-rds-single-noreplication"
10.592,9,15,10.547,9,15,9117.71,9118,9118,210,210,210,1,94.4108761329305,"Home - discrete","requestTrace","teastore-private-nlb-rds-single-noreplication"
31.0257425742574,29,41,19.0881188118812,17,27,10451.0851485149,10448,10449,1151.61287128713,1146,1147,1,32.2312994638754,"Login - discrete","requestTrace","teastore-private-nlb-rds-single-noreplication"
25.9961165048544,24,36,24.6271844660194,23,34.1,109025.893203883,105220,123944,264.680582524272,236,236,1,38.4672841350463,"List Products - discrete","requestTrace","teastore-private-nlb-rds-single-noreplication"
47.7788461538462,43,75.1,46.3442307692308,41,72,120574.240384615,117380,150276.3,258.3875,224,224,1,20.9297645401489,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-single-noreplication"
49.2875,45,74,9.24711538461538,7,15,28316.5471153846,27933,27947,1127.08461538462,1126,1127,1,20.2891199594218,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-single-noreplication"
16.452,15,23,5.102,4,8,10562.42,10563,10563,977.965,980,980,1,60.7828835399951,"Logout - discrete","requestTrace","teastore-private-nlb-rds-single-noreplication"
