"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
25.8899875,23,46,18.4320125,15,34,50015.8660875,10823,124471,1484.367725,1052,3155,1,38.6249703674055,"Overall","system","teastore-private-nlb-rds-single-withcaching"
29.0349,26,45,14.9571,12,25,10903.8411,10907,10908,3156.9579,3161,3164,1,34.4413102852085,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-withcaching"
28.8805,26,45,14.7447,12,25,10786.9641,10789,10790,2797.6045,2799,2802,1,34.6254393102612,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-withcaching"
8.7532,7,16,8.7039,7,16,9118,9118,9118,210,210,210,1,114.243933647123,"Home","requestTrace","teastore-private-nlb-rds-single-withcaching"
29.8801,25,49,25.9561,22,42,118574.8861,113193,152095,833.8817,834,835,1,33.4670901369139,"List Products","requestTrace","teastore-private-nlb-rds-single-withcaching"
30.5437,26,50,26.8562,23,43,118537.6499,112331,151662,959.4842,960,961,1,32.7399758378978,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-withcaching"
40.3709,36,63,29.6335,25,48,10447.4109,10448,10449,1146.0909,1146,1147,1,24.7703172334528,"Login","requestTrace","teastore-private-nlb-rds-single-withcaching"
21.0187,18,35,10.8679,8,20,10822.42,10823,10823,1949.3839,1952,1953,1,47.576681716757,"Logout","requestTrace","teastore-private-nlb-rds-single-withcaching"
18.6379,14,35,15.7367,12,29,110935.7566,107166.5,147720,821.5387,822,823,1,53.6541133926033,"Look at Product","requestTrace","teastore-private-nlb-rds-single-withcaching"
5.513,5,8,5.465,5,8,9117.71,9118,9118,210,210,210,1,181.38944313441,"Home - discrete","requestTrace","teastore-private-nlb-rds-single-withcaching"
27.5227722772277,25,38,20.8079207920792,19,29,10451.0910891089,10448,10449,1151.61485148515,1146,1147,1,36.3335491761997,"Login - discrete","requestTrace","teastore-private-nlb-rds-single-withcaching"
13.7757281553398,12,19,12.7941747572816,12,18,105991.815533981,98002,123944,264.115533980583,236,236,1,72.5914440763972,"List Products - discrete","requestTrace","teastore-private-nlb-rds-single-withcaching"
8.78557692307692,7,12,8.53461538461539,7,12,6267.84807692308,3457,6065,258.583653846154,224,224,0.0480769230769231,113.82291780672,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-single-withcaching"
16.2067307692308,15,22,8.29807692307692,7,13,11447.7317307692,10432,10433,1891.97115384615,1919,1921,1,61.7027588252744,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-single-withcaching"
10.25,9,14,4.926,4,6,10562.42,10563,10563,977.558,980,980,1,97.5609756097561,"Logout - discrete","requestTrace","teastore-private-nlb-rds-single-withcaching"
