"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
25.212425,21,47,17.876725,14,35,50109.7712125,10823,124471,1484.330025,1051.5,3155,1,39.6629836281119,"Overall","system","teastore-private-nlb-rds-single-withsomecaching"
28.5116,24,47,14.8485,12,26,10903.8127,10907,10908,3156.8307,3161,3164,1,35.073443791299,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
28.3654,24,47,14.6456,12,26,10787.0104,10789,10790,2797.5999,2799,2802,1,35.2542181672037,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
8.0272,6,16,7.9739,6,15,9118,9118,9118,210,210,210,1,124.576440103648,"Home","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
27.8717,23,48,23.6597,20,40,118893.4326,113193,152095,833.8331,834,835,1,35.8786869835711,"List Products","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
29.0614,24,50,24.9321,21,42,118780.1622,112331,151662,959.4955,960,961,1,34.4099045469248,"List Products with different page","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
40.9625,35,68,30.8124,24,55,10447.3959,10448,10449,1146.0759,1146,1147,1,24.4125724748245,"Login","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
20.1149,16,36,10.3276,8,20,10822.42,10823,10823,1949.2876,1952,1953,1,49.714390824712,"Logout","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
18.7847,14,37,15.814,12,31,111125.9359,107693,147976,821.5175,822,823,1,53.2348134385963,"Look at Product","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
4.616,4,7,4.57,4,7,9117.71,9118,9118,210,210,210,1,216.637781629116,"Home - discrete","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
25.2029702970297,22,37,19.390099009901,17,29,10451.1247524752,10448,10449,1151.64455445545,1146,1147,1,39.6778628953054,"Login - discrete","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
11.447572815534,10,17,10.5300970873786,9,16,114664.826213592,123944,124471,264.680582524272,236,236,1,87.3547621066915,"List Products - discrete","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
7.11057692307692,6,11,6.90192307692308,6,11,6027.76538461538,3457,3457,258.427884615385,224,224,0.0480769230769231,140.635564570656,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
13.4653846153846,12,19,7.29519230769231,6,11,11522.675,10432,10433,1891.56346153846,1919,1921,1,74.2644958583262,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
8.422,7,12,4.052,3,6,10562.42,10563,10563,978.779,980,980,1,118.736642127761,"Logout - discrete","requestTrace","teastore-private-nlb-rds-single-withsomecaching"
