"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
52.0660125,43,99,29.5757875,21,64,55182.2224,28382,124471,1236.323325,1052,2105,1,19.2063872761526,"Overall","system","teastore-private-nlb-rds-three-highreplication"
84.8098,76,134,14.009,11,24,29180.3273,28993,32993,2106.4685,2109,2111,1,11.7910901806159,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-highreplication"
81.3936,73,129,13.7558,11,24,28493.0468,28298,32316,1864.0329,1865,1867,1,12.2859782587329,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-highreplication"
17.1507,14,29,17.1227,14,29,9118,9118,9118,210,210,210,1,58.3066580372813,"Home","requestTrace","teastore-private-nlb-rds-three-highreplication"
42.7519,38,69,40.9724,36,67,118812.5605,113193,152095,833.8572,834,835,1,23.3907732755737,"List Products","requestTrace","teastore-private-nlb-rds-three-highreplication"
42.169,37,69,40.6483,36,66,118706.5067,112331,151662,959.449,960,961,1,23.7141027769214,"List Products with different page","requestTrace","teastore-private-nlb-rds-three-highreplication"
46.6996,41,73,28.0448,23,46,10448.0042,10448,10449,1146.1042,1146,1147,1,21.413459644194,"Login","requestTrace","teastore-private-nlb-rds-three-highreplication"
26.5466,23,44,8.4142,6,15,10821.84,10823,10823,1949.1664,1952,1953,1,37.6696074073516,"Logout","requestTrace","teastore-private-nlb-rds-three-highreplication"
75.0069,67,122,73.6391,66,120,115877.4937,109578,148940,821.5084,822,823,1,13.3321067795096,"Look at Product","requestTrace","teastore-private-nlb-rds-three-highreplication"
10.037,9,15,9.989,9,15,9117.71,9118,9118,210,210,210,1,99.6313639533725,"Home - discrete","requestTrace","teastore-private-nlb-rds-three-highreplication"
32.8069306930693,30,47,19.739603960396,17,29,10451.1534653465,10448,10449,1151.63861386139,1146,1147,1,30.4813641164931,"Login - discrete","requestTrace","teastore-private-nlb-rds-three-highreplication"
26.0281553398058,23,40,24.868932038835,22,38,114039.684466019,112666,151567,264.64854368932,236,236,1,38.4199336043866,"List Products - discrete","requestTrace","teastore-private-nlb-rds-three-highreplication"
45.4951923076923,40,71.1,44.3586538461538,39,71,116170.976923077,104889,147739.1,258.181730769231,224,224,1,21.9803444996301,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-three-highreplication"
52.8528846153846,49,78,10.4538461538462,8.5,17,28207.2009615385,27931,27943,1127.13653846154,1126,1127,1,18.9204431749959,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-three-highreplication"
16.363,15,23.1,5.308,4,8,10562.42,10563,10563,978.372,980,980,1,61.1134877467457,"Logout - discrete","requestTrace","teastore-private-nlb-rds-three-highreplication"
