"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
45.8352875,40,84,25.89495,19,55,55160.628,28380,124471,1236.2979125,1052.5,2105,1,21.8172516099086,"Overall","system","teastore-private-nlb-rds-three-lowreplication"
73.2111,67,109,11.9433,10,20,29175.3905,28994,32939.6,2106.3586,2109,2111,1,13.6591309241358,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-lowreplication"
70.496,64,106,11.7222,10,20,28489.7198,28298,32308,1863.9861,1865,1867,1,14.1852019972764,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-lowreplication"
15.4567,13,26,15.4156,13,26,9118,9118,9118,210,210,210,1,64.6968628491204,"Home","requestTrace","teastore-private-nlb-rds-three-lowreplication"
38.0318,34,58,35.762,32,55,118777.943,113193,152095,833.8319,834,835,1,26.2937857266814,"List Products","requestTrace","teastore-private-nlb-rds-three-lowreplication"
37.4795,33,58,35.4389,31,55,118694.493,112331,151662,959.4078,960,961,1,26.6812524179885,"List Products with different page","requestTrace","teastore-private-nlb-rds-three-lowreplication"
41.1179,37,63,24.2079,20,40,10447.9747,10448,10449,1146.0747,1146,1147,1,24.3203081869453,"Login","requestTrace","teastore-private-nlb-rds-three-lowreplication"
24.4408,21,39,8.0298,6,14,10821.84,10823,10823,1949.2294,1952,1953,1,40.9151909921116,"Logout","requestTrace","teastore-private-nlb-rds-three-lowreplication"
66.4485,60,101.1,64.6399,59,99,115759.663,109556,148894,821.4948,822,823,1,15.0492486662603,"Look at Product","requestTrace","teastore-private-nlb-rds-three-lowreplication"
10.532,9,15,10.462,9,15,9117.71,9118,9118,210,210,210,1,94.948727687049,"Home - discrete","requestTrace","teastore-private-nlb-rds-three-lowreplication"
30.1475247524752,28,43,18.0108910891089,16,27,10451.1,10448,10449,1151.62376237624,1146,1147,1,33.170219054813,"Login - discrete","requestTrace","teastore-private-nlb-rds-three-lowreplication"
26.5456310679612,24,39,25.2582524271845,23,37,119076.962135922,112666,151567,264.636893203884,236,236,1,37.6709823714432,"List Products - discrete","requestTrace","teastore-private-nlb-rds-three-lowreplication"
41.1807692307692,39,59,40.1653846153846,38,57,110959.323076923,104887,136490,258.299038461538,224,224,1,24.2831792285421,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-three-lowreplication"
45.8346153846154,43,65,8.85576923076923,7,15,28208.1471153846,27934,27951,1126.9375,1126,1126,1,21.8175715364605,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-three-lowreplication"
14.975,13,21,4.047,3,7,10562.42,10563,10563,976.337,980,980,1,66.7779632721202,"Logout - discrete","requestTrace","teastore-private-nlb-rds-three-lowreplication"
