"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
54.4794625,44,107,28.8624125,19,67,55123.1205625,28381,124471,1236.1838125,1052,2105,1,18.3555408609253,"Overall","system","teastore-private-nlb-rds-three-nocaching"
97.379,92,135,14.3622,12,23,29177.6693,28994,32342,2106.2351,2109,2111,1,10.2691545405067,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-nocaching"
92.4359,87,129,14.0771,12,23,28491.2927,28298,32307.1,1863.8301,1865,1867,1,10.8183076055948,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-nocaching"
14.7426,12,25,14.6608,12,25,9118,9118,9118,210,210,210,1,67.8306404569072,"Home","requestTrace","teastore-private-nlb-rds-three-nocaching"
40.6369,35,65,36.6675,32,59,118636.0191,113193,152095,833.805,834,835,1,24.6081763126616,"List Products","requestTrace","teastore-private-nlb-rds-three-nocaching"
41.1311,36,65,37.3432,32,60,118560.3971,112331,151662,959.3496,960,961,1,24.312503191016,"List Products with different page","requestTrace","teastore-private-nlb-rds-three-nocaching"
38.5466,35,58,21.506,18,33,10447.9772,10448,10449,1146.0772,1146,1147,1,25.9426252899088,"Login","requestTrace","teastore-private-nlb-rds-three-nocaching"
24.7635,21,40,8.7533,6,16,10821.84,10823,10823,1948.7664,1952,1953,1,40.3820138510308,"Logout","requestTrace","teastore-private-nlb-rds-three-nocaching"
86.2001,81,123,83.5292,78,119,115731.7691,109350,149426,821.4071,822,823,1,11.6009146161083,"Look at Product","requestTrace","teastore-private-nlb-rds-three-nocaching"
9.525,8,14,9.475,8,14,9117.71,9118,9118,210,210,210,1,104.98687664042,"Home - discrete","requestTrace","teastore-private-nlb-rds-three-nocaching"
29.4950495049505,28,40.1,18.5722772277228,17,27,10451.1,10448,10449,1151.62673267327,1146,1147,1,33.9039946290702,"Login - discrete","requestTrace","teastore-private-nlb-rds-three-nocaching"
23.0514563106796,21,35,21.8145631067961,19,33,115506.372815534,105220,151567,264.607766990291,236,236,1,43.3812070926168,"List Products - discrete","requestTrace","teastore-private-nlb-rds-three-nocaching"
57.2057692307692,53,85,55.9192307692308,53,83,109884.057692308,102612,148899,258.239423076923,224,224,1,17.4807543617844,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-three-nocaching"
73.6317307692308,62,109.1,11.7038461538462,9,19,28247.3057692308,27934,27947,1127.40288461538,1126,1127,1,13.5811013750865,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-three-nocaching"
14.842,13,21,4.767,4,7,10562.42,10563,10563,975.93,980,980,1,67.3763643713785,"Logout - discrete","requestTrace","teastore-private-nlb-rds-three-nocaching"
