"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
51.4900625,43,96,28.34295,19,61,55202.4588875,28382,124471,1236.2669625,1052,2105,1,19.4212232700242,"Overall","system","teastore-private-nlb-rds-three-noreplication"
81.9779,75,125,13.8986,11,25,29178.7029,28994,32986.2,2106.5471,2109,2111,1,12.1984095713601,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-noreplication"
78.912,72,121,13.9159,11,25,28491.7433,28298,32308,1863.8755,1865,1867,1,12.6723438767234,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-noreplication"
16.2308,13,28,16.1709,13,28,9118,9118,9118,210,210,210,1,61.6112576089903,"Home","requestTrace","teastore-private-nlb-rds-three-noreplication"
43.5939,37,72,38.3072,33,63,118856.951,113193,152095,833.8274,834,835,1,22.9389891705032,"List Products","requestTrace","teastore-private-nlb-rds-three-noreplication"
43.8312,38,72,38.6575,34,63,118775.2955,112331,151662,959.3846,960,961,1,22.814798590958,"List Products with different page","requestTrace","teastore-private-nlb-rds-three-noreplication"
41.9599,37,64,22.9671,19,37,10447.987,10448,10449,1146.087,1146,1147,1,23.8322779606243,"Login","requestTrace","teastore-private-nlb-rds-three-noreplication"
29.5534,25,49,10.934,8,21,10821.84,10823,10823,1948.9937,1952,1953,1,33.8370542814025,"Logout","requestTrace","teastore-private-nlb-rds-three-noreplication"
75.8614,68,120.1,71.8924,65,115,115929.1514,109689,148996,821.4204,822,823,1,13.1819344225126,"Look at Product","requestTrace","teastore-private-nlb-rds-three-noreplication"
10.031,9,14,9.955,9,14,9117.71,9118,9118,210,210,210,1,99.6909580301067,"Home - discrete","requestTrace","teastore-private-nlb-rds-three-noreplication"
29.7960396039604,28,41,18.4742574257426,17,26,10451.1495049505,10448,10449,1151.67524752475,1146,1147,1,33.5615072771981,"Login - discrete","requestTrace","teastore-private-nlb-rds-three-noreplication"
26.068932038835,22,41,24.4834951456311,21,39,121593.274757282,112666,151567,264.677669902913,236,236,1,38.3598376224349,"List Products - discrete","requestTrace","teastore-private-nlb-rds-three-noreplication"
38.6557692307692,36,60,37.4509615384615,35,58.1,99663.4442307692,100009,106176.3,258.327884615385,224,224,1,25.8693597333466,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-three-noreplication"
41.6596153846154,37.5,63,8.49038461538461,7,13,28335.3625,27933,27950,1127.42692307692,1126,1127,1,24.0040622259152,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-three-noreplication"
15.65,14,22,4.894,4,7,10562.42,10563,10563,979.186,980,980,1,63.8977635782748,"Logout - discrete","requestTrace","teastore-private-nlb-rds-three-noreplication"
