"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
33.2504625,29,60,23.5750625,19,45,50094.9656625,10823,124471,1484.216425,1052.5,3155,1,30.0747696366629,"Overall","system","teastore-private-nlb-rds-three-withcaching"
36.2133,31,59,18.2474,15,32,10903.7317,10907,10908,3156.5899,3161,3164,1,27.6141638569255,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-withcaching"
36.4499,31,60,18.2467,15,32,10786.9873,10789,10790,2797.5471,2799,2802,1,27.4349175169205,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-withcaching"
10.9084,8,21,10.8468,8,20,9118,9118,9118,210,210,210,1,91.6724725899307,"Home","requestTrace","teastore-private-nlb-rds-three-withcaching"
41.7236,35,70,36.4325,31,60,118896.9697,113193,152095,833.804,834,835,1,23.9672511480313,"List Products","requestTrace","teastore-private-nlb-rds-three-withcaching"
42.7374,36,71,37.4973,32,61,118829.2004,112331,151662,959.4162,960,961,1,23.3987093271935,"List Products with different page","requestTrace","teastore-private-nlb-rds-three-withcaching"
45.0083,40,69,31.4404,27,51,10447.4088,10448,10449,1146.0888,1146,1147,1,22.2181242126452,"Login","requestTrace","teastore-private-nlb-rds-three-withcaching"
26.6665,22,47,13.6179,10,26,10822.42,10823,10823,1948.8479,1952,1953,1,37.5002343764649,"Logout","requestTrace","teastore-private-nlb-rds-three-withcaching"
26.2963,19,52,22.2715,16,43.1000000000004,110955.0074,107354,147953,821.4375,822,823,1,38.0281636580051,"Look at Product","requestTrace","teastore-private-nlb-rds-three-withcaching"
4.391,4,6,4.338,4,6,9117.71,9118,9118,210,210,210,1,227.738556137554,"Home - discrete","requestTrace","teastore-private-nlb-rds-three-withcaching"
24.0613861386139,22,33,18.0089108910891,16,25.1,10451.0732673267,10448,10449,1151.60099009901,1146,1147,1,41.5603654020245,"Login - discrete","requestTrace","teastore-private-nlb-rds-three-withcaching"
12.0660194174757,10,19,10.8864077669903,9,17,108675.993203883,112666,123944,264.64854368932,236,236,1,82.8773736723527,"List Products - discrete","requestTrace","teastore-private-nlb-rds-three-withcaching"
7.42692307692308,6,11,7.18076923076923,6,10.1,5802.29230769231,3457,3457,258.520192307692,224,224,0.0480769230769231,134.645261522527,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-three-withcaching"
16.4932692307692,15,23,7.96346153846154,7,13,11529.2692307692,10432,10432,1890.72884615385,1919,1919,1,60.6307934472104,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-three-withcaching"
10.213,9,14,4.94,4,7,10562.42,10563,10563,979.593,980,980,1,97.9144227944776,"Logout - discrete","requestTrace","teastore-private-nlb-rds-three-withcaching"
