"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
26.1290875,23,47,19.0228125,16,36,49917.84115,10823,124471,1484.2207875,1051.5,3155,1,38.27152402471,"Overall","system","teastore-private-nlb-rds-three-withsomecaching"
29.6424,26,47,16.0636,13,27,10903.5782,10907,10908,3156.3789,3161,3164,1,33.7354600167328,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
29.4092,26,47,15.9539,13,27,10786.977,10789,10790,2797.54,2799,2802,1,34.0029650585531,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
8.128,6,16,8.0757,6,16,9118,9118,9118,210,210,210,1,123.031496062992,"Home","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
29.4651,25,48,25.6888,22,41,118326.5925,113193,152095,833.8361,834,835,1,33.9384560038826,"List Products","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
30.6526,27,50,27.0172,24,43,118271.6489,112331,151662,959.455,960,961,1,32.6236599831662,"List Products with different page","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
43.12,36,70,33.1141,26,57,10447.3947,10448,10449,1146.0747,1146,1147,1,23.191094619666,"Login","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
19.8703,17,35,10.2844,7,20,10822.42,10823,10823,1949.0128,1952,1953,1,50.326366486666,"Logout","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
18.7451,15,35,15.9848,13,30,110666.1179,107271.5,147573,821.4688,822,823,1,53.3472747544692,"Look at Product","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
4.114,4,6,4.07,4,6,9117.71,9118,9118,210,210,210,1,243.072435585805,"Home - discrete","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
27.8613861386139,25,41,21.9564356435644,19,33,10451.102970297,10448,10449,1151.05445544554,1146,1147,1,35.8919687277896,"Login - discrete","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
17.0815533980583,16,23,15.8854368932039,15,21,119633.739805825,112666,151567,264.520388349515,236,236,1,58.5426850062521,"List Products - discrete","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
8.17884615384615,7,11,7.94615384615385,6,11,6294.44615384615,3457,6065,258.439423076923,224,224,0.0480769230769231,122.266635316247,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
18.6701923076923,17,25,10.9682692307692,10,15.1,11422.4163461538,10430.5,10433,1890.65480769231,1916,1921,1,53.5613122521502,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
10.725,9,16,5.289,4,9,10562.42,10563,10563,978.779,980,980,1,93.2400932400932,"Logout - discrete","requestTrace","teastore-private-nlb-rds-three-withsomecaching"
