"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
55.60765,45,105,31.575925,22,68,55202.309975,28381,124471,1236.365325,1051.5,2105,1,17.9831372122361,"Overall","system","teastore-private-nlb-rds-two-highreplication"
90.6371,79,145,14.8601,12,26,29141.8796,28994,32990.1,2106.4251,2109,2111,1,11.0330096616066,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-highreplication"
86.2384,75,140,14.6023,12,26,28439.2309,28299,32308,1864.0076,1865,1867,1,11.5957624445723,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-highreplication"
18.4711,15,32,18.4434,15,32,9118,9118,9118,210,210,210,1,54.1386273692417,"Home","requestTrace","teastore-private-nlb-rds-two-highreplication"
46.0321,40,76,44.0881,38,73,118971.3476,113193,152095,833.8157,834,835,1,21.7239708811894,"List Products","requestTrace","teastore-private-nlb-rds-two-highreplication"
44.9837,39,74,43.2478,37,71,118850.1932,112331,151662,959.4526,960,961,1,22.2302745216601,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-highreplication"
50.1909,43,81,30.189,24,51,10447.9795,10448,10449,1146.0795,1146,1147,1,19.9239304336045,"Login","requestTrace","teastore-private-nlb-rds-two-highreplication"
28.5712,24,48,8.9648,7,16,10821.84,10823,10823,1949.6467,1952,1953,1,35.00028000224,"Logout","requestTrace","teastore-private-nlb-rds-two-highreplication"
79.7367,69,131,78.2119,67,130,115828.009,109650,149267,821.4954,822,823,1,12.5412764762023,"Look at Product","requestTrace","teastore-private-nlb-rds-two-highreplication"
10.569,9,15,10.52,9,15,9117.71,9118,9118,210,210,210,1,94.6163307786924,"Home - discrete","requestTrace","teastore-private-nlb-rds-two-highreplication"
32.790099009901,29,47,19.7524752475248,17,30,10451.1495049505,10448,10449,1151.67524752475,1146,1147,1,30.4970106890513,"Login - discrete","requestTrace","teastore-private-nlb-rds-two-highreplication"
25.9679611650485,23,38,24.7815533980583,23,36,110328.322330097,105220,123996.7,264.683495145631,236,236,1,38.5089916626164,"List Products - discrete","requestTrace","teastore-private-nlb-rds-two-highreplication"
46.3461538461538,41.5,75,45.2855769230769,41,75,109601.072115385,104438,147696,258.383653846154,224,224,1,21.5767634854772,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-two-highreplication"
54.6403846153846,51,82,9.72019230769231,7,16.1,28236.0557692308,27938,27953,1128.7875,1126,1127,1,18.3014817161159,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-two-highreplication"
14.989,13,22,4.779,4,8,10562.42,10563,10563,979.186,980,980,1,66.7155914337181,"Logout - discrete","requestTrace","teastore-private-nlb-rds-two-highreplication"
