"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
54.8705125,44,105,29.48415,20,69,55293.7651125,28380,124471,1236.347175,1051.5,2105,1,18.2247249832048,"Overall","system","teastore-private-nlb-rds-two-nocaching"
97.854,93,132,14.6404,12,24,29176.5236,28993,32989,2106.4083,2109,2111,1,10.2193063134874,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-nocaching"
93.1321,88,126,14.7128,12,24,28490.4557,28298,32309,1863.9994,1865,1867,1,10.7374363941112,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-nocaching"
14.6694,12,24,14.6241,12,24,9118,9118,9118,210,210,210,1,68.169113937857,"Home","requestTrace","teastore-private-nlb-rds-two-nocaching"
39.6708,36,60,36.4208,33,55,119115.1631,113193,152095,833.848,834,835,1,25.2074573741896,"List Products","requestTrace","teastore-private-nlb-rds-two-nocaching"
39.7197,36,59,36.5014,33,54,119029.5971,112331,151662,959.4714,960,961,1,25.1764237897064,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-nocaching"
42.641,38,65,26.1826,21,44,10447.9824,10448,10449,1146.0824,1146,1147,1,23.4516076077015,"Login","requestTrace","teastore-private-nlb-rds-two-nocaching"
25.141,22,39,8.9653,7,16,10821.84,10823,10823,1949.4575,1952,1953,1,39.7756652480013,"Logout","requestTrace","teastore-private-nlb-rds-two-nocaching"
86.1361,81,118,83.8258,79,115,116150.559,109795,149184,821.5104,822,823,1,11.6095342138778,"Look at Product","requestTrace","teastore-private-nlb-rds-two-nocaching"
10.197,9,14,10.132,9,14,9117.71,9118,9118,210,210,210,1,98.0680592331078,"Home - discrete","requestTrace","teastore-private-nlb-rds-two-nocaching"
32.0722772277228,29,45,20.1366336633663,18,30.1,10451.1396039604,10448,10449,1151.66138613861,1146,1147,1,31.1795758342852,"Login - discrete","requestTrace","teastore-private-nlb-rds-two-nocaching"
30.3009708737864,27,46,28.721359223301,26,43,106463.948543689,105220,113193,264.671844660194,236,236,1,33.0022428708747,"List Products - discrete","requestTrace","teastore-private-nlb-rds-two-nocaching"
61.7221153846154,59,82.1,60.5230769230769,58,80.1,117034.606730769,119086,148413,258.420192307692,224,224,1,16.2016482061348,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-two-nocaching"
68.8721153846154,66,93,9.76730769230769,8,15.1,28039.2192307692,27931,27943,1127.86538461538,1126,1126,1,14.5196643723735,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-two-nocaching"
16.475,15,22,5.135,4,8,10562.42,10563,10563,975.93,980,980,1,60.6980273141123,"Logout - discrete","requestTrace","teastore-private-nlb-rds-two-nocaching"
