"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
54.510575,47,100,30.0226125,21,66,55216.5657875,28380,124471,1236.279175,1052,2105,1,18.3450642375356,"Overall","system","teastore-private-nlb-rds-two-noreplication"
87.955,82,128,13.5182,11,22,29173.3862,28994,32948.4,2106.1769,2109,2111,1,11.3694502870786,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-noreplication"
84.1485,78,123,13.3044,11,22,28489.8772,28298,32308,1864.0101,1865,1867,1,11.8837531269125,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-noreplication"
18.0166,15,31,17.964,15,31,9118,9118,9118,210,210,210,1,55.5043681937768,"Home","requestTrace","teastore-private-nlb-rds-two-noreplication"
46.3357,41,73,42.5003,37,67,118918.4614,113193,152095,833.8711,834,835,1,21.5816314418472,"List Products","requestTrace","teastore-private-nlb-rds-two-noreplication"
46.0542,41,72,42.2417,37,67,118826.7437,112331,151662,959.4847,960,961,1,21.7135462129404,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-noreplication"
43.9841,40,64,23.7563,21,37,10447.9803,10448,10449,1146.0803,1146,1147,1,22.7354885060738,"Login","requestTrace","teastore-private-nlb-rds-two-noreplication"
28.6779,25,46,9.0079,7,16,10821.84,10823,10823,1949.0878,1952,1953,1,34.8700567335823,"Logout","requestTrace","teastore-private-nlb-rds-two-noreplication"
80.9126,74,121.1,77.8881,71,117,115936.2375,109795,148996,821.5225,822,823,1,12.3590145416165,"Look at Product","requestTrace","teastore-private-nlb-rds-two-noreplication"
10.302,9,15,10.25,9,15,9117.71,9118,9118,210,210,210,1,97.06853038245,"Home - discrete","requestTrace","teastore-private-nlb-rds-two-noreplication"
35.070297029703,32,49,21.5990099009901,19,32,10451.1356435644,10448,10449,1151.66237623762,1146,1147,1,28.5141582676943,"Login - discrete","requestTrace","teastore-private-nlb-rds-two-noreplication"
26.9067961165049,24,40,25.5456310679612,23,38,120335.121359223,112666,151567,264.68640776699,236,236,1,37.1653316013567,"List Products - discrete","requestTrace","teastore-private-nlb-rds-two-noreplication"
38.2990384615385,35,56,37.2019230769231,34,55,105658.417307692,103624,118560.9,258.010576923077,224,224,1,26.1103160854611,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-two-noreplication"
49.9923076923077,47,74,8.53076923076923,7,14,28246.0028846154,27935,27953,1127.99326923077,1126,1127,1,20.0030773965225,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-two-noreplication"
17.699,16,25,5.519,5,8,10562.42,10563,10563,978.779,980,980,1,56.5003672523871,"Logout - discrete","requestTrace","teastore-private-nlb-rds-two-noreplication"
