"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
25.910175,23,46,18.1913375,15,34,50117.6455625,10823,124471,1484.388575,1052,3155,1,38.5948763371919,"Overall","system","teastore-private-nlb-rds-two-withcaching"
29.2416,26,46,14.7495,12,26,10903.6668,10907,10908,3156.6072,3161,3164,1,34.1978551105275,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-withcaching"
29.0141,26,46,14.5557,12,25,10787.0025,10789,10790,2797.7038,2799,2802,1,34.4660010133004,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-withcaching"
8.9479,7,16,8.906,7,16,9118,9118,9118,210,210,210,1,111.758066138424,"Home","requestTrace","teastore-private-nlb-rds-two-withcaching"
29.0445,25,48,25.0849,22,42,118900.7531,113193,152095,833.8823,834,835,1,34.4299264921069,"List Products","requestTrace","teastore-private-nlb-rds-two-withcaching"
30.7082,26,51,26.5503,23,43,118826.616,112331,151662,959.535,960,961,1,32.5645918679701,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-withcaching"
39.3165,35,61,28.3544,24,47,10447.4073,10448,10449,1146.0873,1146,1147,1,25.4346139661465,"Login","requestTrace","teastore-private-nlb-rds-two-withcaching"
21.7899,18,37,11.1396,9,21,10822.42,10823,10823,1949.7316,1952,1953,1,45.892821903726,"Logout","requestTrace","teastore-private-nlb-rds-two-withcaching"
19.2187,15,36,16.1903,13,30,111135.2988,107693,147953,821.5614,822,823,1,52.032655694714,"Look at Product","requestTrace","teastore-private-nlb-rds-two-withcaching"
6.431,5,8,6.387,5,8,9117.71,9118,9118,210,210,210,1,155.496812315348,"Home - discrete","requestTrace","teastore-private-nlb-rds-two-withcaching"
29.8990099009901,25,44,22.5564356435644,18,35,10451.1465346535,10448,10449,1151.67326732673,1146,1147,1,33.4459235710974,"Login - discrete","requestTrace","teastore-private-nlb-rds-two-withcaching"
13.0135922330097,11,19,11.8747572815534,11,17,113316.767961165,105220,151567,264.636893203884,236,236,1,76.8427335123844,"List Products - discrete","requestTrace","teastore-private-nlb-rds-two-withcaching"
8.90096153846154,7,13,8.6375,7,13,6033.16826923077,3457,3457,258.416346153846,224,224,0.0480769230769231,112.347412768716,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-two-withcaching"
16.0461538461538,15,22,7.97788461538462,7,12,11474.2076923077,10432,10433,1891.46730769231,1919,1921,1,62.320230105465,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-two-withcaching"
11.305,10,16,5.493,5,8,10562.42,10563,10563,978.779,980,980,1,88.4564352056612,"Logout - discrete","requestTrace","teastore-private-nlb-rds-two-withcaching"
