"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
26.78955,23,50,18.773375,15,36,50151.3888125,10823,124471,1484.4732,1052.5,3155,1,37.3279879654567,"Overall","system","teastore-private-nlb-rds-two-withsomecaching"
30.2659,26,49,15.4166,12,28,10903.9574,10907,10908,3157.2061,3161,3164,1,33.0404845056648,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
30.2726,26,51,15.3602,12,28,10786.9845,10789,10790,2797.6627,2799,2802,1,33.0331719112333,"Add Product to Cart","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
8.721,6,17,8.6548,6,17,9118,9118,9118,210,210,210,1,114.665749340672,"Home","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
30.8774,25,54,26.1344,22,45,118906.8981,113193,152095,833.9168,834,835,1,32.3861465019723,"List Products","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
31.6274,26,54,27.0077,23,46,118840.8891,112331,151662,959.4929,960,961,1,31.6181538792313,"List Products with different page","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
40.0227,34,66,28.9064,23,51,10447.404,10448,10449,1146.084,1146,1147,1,24.9858205468397,"Login","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
21.7146,18,39,11.2094,8,22,10822.42,10823,10823,1949.863,1952,1953,1,46.0519650373481,"Logout","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
20.8148,16,40,17.4975,13,34,111384.5574,107561,147976,821.5601,822,823,1,48.0427388204547,"Look at Product","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
3.623,3,5,3.566,3,5,9117.71,9118,9118,210,210,210,1,276.014352746343,"Home - discrete","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
22.6584158415842,20,34,17.4495049504951,15,27,10451.1306930693,10448,10449,1151.65742574257,1146,1147,1,44.1337120384531,"Login - discrete","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
10.8776699029126,9,17,9.90970873786408,8,15,107580.738834951,112666,123944,264.604854368932,236,236,1,91.9314530524812,"List Products - discrete","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
7.53365384615385,6,11,7.3,6,11,6190.80673076923,3457,6065,258.406730769231,224,224,0.0480769230769231,132.737715379706,"Look at Product - discrete","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
14.3038461538462,13,20,7.62884615384615,6,12,11515.1817307692,10432,10433,1891.99423076923,1919,1921,1,69.911266469481,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
10.553,9,15.1,5.158,4,8,10562.42,10563,10563,977.151,980,980,1,94.7597839476926,"Logout - discrete","requestTrace","teastore-private-nlb-rds-two-withsomecaching"
