"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
84.4101875,74,152,46.8978625,35,102,54713.6837625,28240,124471,1236.3893,1052,2105,1,11.8469112510857,"Overall","system","teastore-private-nlb-original"
141.0732,133,195,21.3992,18,36,28534.4222,28730,31448,2106.5879,2109,2111,1,7.08851858467803,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-original"
133.7902,126,186,21.3234,18,36,27847.3198,28198,30765.1,1864.05,1865,1867,1,7.4743890060707,"Add Product to Cart","requestTrace","teastore-private-nlb-original"
26.5513,24,42,26.4934,23,42,9118,9118,9118,210,210,210,1,37.6629392911082,"Home","requestTrace","teastore-private-nlb-original"
65.8454,60,98,61.9724,57,92,118739.0314,113193,152095,833.8696,834,835,1,15.1870897587379,"List Products","requestTrace","teastore-private-nlb-original"
66.7736,61,99,62.8778,58,93,118639.8858,112331,151662,959.4967,960,961,1,14.9759785304372,"List Products with different page","requestTrace","teastore-private-nlb-original"
75.6992,69,112,47.1322,42,74,10447.9872,10448,10449,1146.0872,1146,1147,1,13.2101792357119,"Login","requestTrace","teastore-private-nlb-original"
43.2539,39,67,14.6712,12,26,10821.84,10823,10823,1949.4652,1952,1953,1,23.1193025368811,"Logout","requestTrace","teastore-private-nlb-original"
122.2947,115,172,119.3133,112,168,113560.9837,106547,148160.8,821.5578,822,823,1,8.17696923905942,"Look at Product","requestTrace","teastore-private-nlb-original"
7.759,7,11,7.73,7,11,9117.71,9118,9118,210,210,210,1,128.882587962366,"Home - discrete","requestTrace","teastore-private-nlb-original"
39.7910891089109,35,60,24.1792079207921,21,39,10451.0900990099,10448,10449,1151.61287128713,1146,1147,1,25.1312548209709,"Login - discrete","requestTrace","teastore-private-nlb-original"
16.8252427184466,14,27.1,15.626213592233,13,26,121615.10776699,112666,151567,264.074757281553,236,236,1,59.4345066358915,"List Products - discrete","requestTrace","teastore-private-nlb-original"
38.3961538461538,36,58,37.2509615384615,34,56,110854.848076923,100154,147866.6,257.7375,223,224,1,26.0442752679555,"Look at Product - discrete","requestTrace","teastore-private-nlb-original"
52.2673076923077,48,80.1,9.35096153846154,7,16,28379.6490384615,27869,27874,1128.49615384615,1126,1127,1,19.1324184112734,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-original"
17.237,14,27,5.905,4,10,10562.42,10563,10563,978.372,980,980,1,58.0147357428787,"Logout - discrete","requestTrace","teastore-private-nlb-original"
