"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
53.4251375,44,101,30.309525,21,64,54077.0914625,27446,124471,1236.3533375,1052,2105,1,18.7177805578881,"Overall","system","teastore-private-nlb-highreplication"
87.556,75,142,14.6346,12,25,27617.5571,27459,29230.4,2106.5399,2109,2111,1,11.421261821006,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-highreplication"
83.5938,72,135,14.1124,11,24,26921.7731,26763,28560.1,1864.0776,1865,1867,1,11.9626096672241,"Add Product to Cart","requestTrace","teastore-private-nlb-highreplication"
17.598,15,30,17.5696,15,30,9118,9118,9118,210,210,210,1,56.8246391635413,"Home","requestTrace","teastore-private-nlb-highreplication"
43.525,38,71,41.707,36,68,118930.6911,113193,152095,833.9001,834,835,1,22.9753015508329,"List Products","requestTrace","teastore-private-nlb-highreplication"
43.0623,37,71,41.4293,35,68,118810.4245,112331,151662,959.4464,960,961,1,23.222168811234,"List Products with different page","requestTrace","teastore-private-nlb-highreplication"
48.3359,42,76,29.1908,24,49,10447.9883,10448,10449,1146.0883,1146,1147,1,20.6885565387217,"Login","requestTrace","teastore-private-nlb-highreplication"
27.0964,23,44,8.589,6,15,10821.84,10823,10823,1949.2314,1952,1953,1,36.9052715489881,"Logout","requestTrace","teastore-private-nlb-highreplication"
76.6337,65,127,75.2435,64,124,109948.4576,102078,143884,821.543,822,823,1,13.0490893692984,"Look at Product","requestTrace","teastore-private-nlb-highreplication"
9.575,8,14,9.505,8,14,9117.71,9118,9118,210,210,210,1,104.43864229765,"Home - discrete","requestTrace","teastore-private-nlb-highreplication"
29.8267326732673,28,40,17.7920792079208,16,25,10451.1099009901,10448,10449,1151.63663366337,1146,1147,1,33.5269709543568,"Login - discrete","requestTrace","teastore-private-nlb-highreplication"
22.0650485436893,20,32,21.0766990291262,19,31,104896.260194175,98002,112666,264.514563106796,236,236,1,45.3205438465262,"List Products - discrete","requestTrace","teastore-private-nlb-highreplication"
42.1086538461538,37,68,41.1615384615385,37,67,104543.493269231,98056,124471,258.335576923077,224,224,1,23.7480875939077,"Look at Product - discrete","requestTrace","teastore-private-nlb-highreplication"
45.9701923076923,43,66,8.84615384615385,7,14,26789.8192307692,26405,26423,1128.60480769231,1126,1127,1,21.7532263799703,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-highreplication"
16.019,15,23,5.183,4,8,10562.42,10563,10563,977.151,980,980,1,62.4258692802297,"Logout - discrete","requestTrace","teastore-private-nlb-highreplication"
