"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
55.4210125,48,102,31.2562875,22,67,55630.535675,28711,122611,1237.80515,1053.5,2109,1,18.0436977761819,"Overall","system","teastore-private-nlb-lowreplication"
90.5774,82,135,14.0269,11,24,29314.8346,28716,31651.2,2109.3229,2111,2114,1,11.0402815713412,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-lowreplication"
86.0006,78.5,128,13.5417,11,24,28639.8173,28012,30945,1866.1351,1867,1869,1,11.6278258523778,"Add Product to Cart","requestTrace","teastore-private-nlb-lowreplication"
18.1,15,31,18.065,15,31,10283,10283,10283,210,210,210,1,55.2486187845304,"Home","requestTrace","teastore-private-nlb-lowreplication"
45.5965,40,70,43.3314,38,67,119769.1223,114703,152583,835.3723,836,837,1,21.9315079008257,"List Products","requestTrace","teastore-private-nlb-lowreplication"
46.4295,41,72,44.3562,40,68,119996.8187,113153,151235,960.9843,961,963,1,21.538030777846,"List Products with different page","requestTrace","teastore-private-nlb-lowreplication"
48.8787,43,74.1000000000004,29.4913,25,48,11613.9884,11614,11615,1147.0884,1147,1148,1,20.4588092563837,"Login","requestTrace","teastore-private-nlb-lowreplication"
27.3523,24,44,8.3644,6,15,11986.84,11988,11988,1950.9794,1953,1955,1,36.5599967827203,"Logout","requestTrace","teastore-private-nlb-lowreplication"
80.4331,73,121,78.8734,71,120,113439.8641,107792,145696,822.5588,823,824,1,12.432692510919,"Look at Product","requestTrace","teastore-private-nlb-lowreplication"
9.458,8,14,9.414,8,14,10282.71,10283,10283,210,210,210,1,105.730598435187,"Home - discrete","requestTrace","teastore-private-nlb-lowreplication"
32.380198019802,27,48,19.2514851485149,16,30,11617.1306930693,11614,11615,1152.66534653465,1147,1148,1,30.883072407045,"Login - discrete","requestTrace","teastore-private-nlb-lowreplication"
23.2902912621359,21,34,22.0757281553398,20,33,111660.906796116,113587,122080.1,265.012621359223,236,237,1,42.9363458251699,"List Products - discrete","requestTrace","teastore-private-nlb-lowreplication"
40.4057692307692,35,63,39.4759615384615,35,62,97583.7605769231,93342,112005,258.175961538462,224,224,1,24.7489410308886,"Look at Product - discrete","requestTrace","teastore-private-nlb-lowreplication"
48.8288461538462,44,74,8.8,7,15,27198.8769230769,26855,26869,1128.74038461538,1126,1127,1,20.4796975306211,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-lowreplication"
19.309,16,29,6.179,5,10,11727.42,11728,11728,977.965,980,980,1,51.7893210420011,"Logout - discrete","requestTrace","teastore-private-nlb-lowreplication"
