"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
87.784525,74,161,48.184625,34,106,54570.9834375,27851,124471,1236.3863875,1052,2105,1,11.3915294295891,"Overall","system","teastore-private-nlb-noreplication"
148.3792,138,206,20.6568,17,35,28249.5601,28524,29896.2,2106.4298,2109,2111,1,6.73948909281085,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication"
140.9415,131,197,20.8904,17,35,27565.6903,27832,29201.6000000002,1864.0623,1865,1867,1,7.0951423108169,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication"
26.8702,23,43,26.7945,23,43,9118,9118,9118,210,210,210,1,37.215949267218,"Home","requestTrace","teastore-private-nlb-noreplication"
69.3098,62,103,64.5936,58,96,119084.6209,113193,152095,833.8663,834,835,1,14.4279741104433,"List Products","requestTrace","teastore-private-nlb-noreplication"
69.5429,63,103,64.9979,59,96,118978.866,112331,151662,959.4708,960,961,1,14.3796131596468,"List Products with different page","requestTrace","teastore-private-nlb-noreplication"
72.2746,66,105,44.2525,39,69,10447.9671,10448,10449,1146.0671,1146,1147,1,13.8361194665899,"Login","requestTrace","teastore-private-nlb-noreplication"
42.2111,37,66,14.0704,11,25,10821.84,10823,10823,1949.6314,1952,1953,1,23.6904510898792,"Logout","requestTrace","teastore-private-nlb-noreplication"
132.7469,122,189,129.2209,119,184,112301.3231,105205,146539,821.5634,822,823,1,7.53313260045997,"Look at Product","requestTrace","teastore-private-nlb-noreplication"
8.527,7,13,8.499,7,13,9117.71,9118,9118,210,210,210,1,117.274539697432,"Home - discrete","requestTrace","teastore-private-nlb-noreplication"
66.2910891089109,62,102.1,40.429702970297,35,70,10451.1376237624,10448,10449,1151.66435643564,1146,1147,1,15.0849837201661,"Login - discrete","requestTrace","teastore-private-nlb-noreplication"
18.8796116504854,16,29,17.6796116504854,15,28,112990.360194175,112666,123944,264.683495145631,236,236,1,52.9671911961329,"List Products - discrete","requestTrace","teastore-private-nlb-noreplication"
53.8153846153846,50,82,52.1230769230769,49,80,105486.802884615,101329,118263,258.424038461538,224,224,1,18.5820468839337,"Look at Product - discrete","requestTrace","teastore-private-nlb-noreplication"
62.1788461538462,57,94,9.6625,8,17,28451.6028846154,28001,28020,1128.27884615385,1126,1127,1,16.0826400272168,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-noreplication"
17.908,15,28.1,5.96,5,10,10562.42,10563,10563,977.965,980,980,1,55.840964931874,"Logout - discrete","requestTrace","teastore-private-nlb-noreplication"
