"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
53.02555,44,99,30.4088875,22,63,54461.68295,28111,124471,1236.3124875,1052,2105,1,18.8588331474167,"Overall","system","teastore-private-nlb-onlyuireplication"
86.7305,76,136,14.8065,12,26,28298.9978,28499,29433.3,2106.436,2109,2111,1,11.5299692726319,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-onlyuireplication"
82.1483,72,129,14.806,12,26,27615.6057,27802,28816.8000000003,1864.0113,1865,1867,1,12.17310644286,"Add Product to Cart","requestTrace","teastore-private-nlb-onlyuireplication"
17.2533,14,29,17.2296,14,28.1000000000004,9118,9118,9118,210,210,210,1,57.9599265068132,"Home","requestTrace","teastore-private-nlb-onlyuireplication"
41.7998,36,66,39.8625,35,63,118664.0351,113193,152095,833.8765,834,835,1,23.9235594428681,"List Products","requestTrace","teastore-private-nlb-onlyuireplication"
40.9102,35,66,39.2331,34,63,118631.8236,112331,151662,959.4237,960,961,1,24.4437817463615,"List Products with different page","requestTrace","teastore-private-nlb-onlyuireplication"
54.2749,47,86,35.8541,29,62,10447.9899,10448,10449,1146.0899,1146,1147,1,18.424723030351,"Login","requestTrace","teastore-private-nlb-onlyuireplication"
27.3935,23,45,9.1824,7,17,10821.84,10823,10823,1949.111,1952,1953,1,36.5050103126654,"Logout","requestTrace","teastore-private-nlb-onlyuireplication"
73.6939,64,118,72.2969,63,116,112095.1715,104655,146638,821.5515,822,823,1,13.5696441632211,"Look at Product","requestTrace","teastore-private-nlb-onlyuireplication"
9.582,8,14,9.533,8,14,9117.71,9118,9118,210,210,210,1,104.36234606554,"Home - discrete","requestTrace","teastore-private-nlb-onlyuireplication"
34.829702970297,33,47,21.7980198019802,20,33,10451.1287128713,10448,10449,1151.61485148515,1146,1147,1,28.7111262721019,"Login - discrete","requestTrace","teastore-private-nlb-onlyuireplication"
23.6116504854369,21,35,22.4271844660194,20,33,106551.223300971,105220,123944,264.080582524272,236,236,1,42.3519736842105,"List Products - discrete","requestTrace","teastore-private-nlb-onlyuireplication"
46.3125,41,72,45.1230769230769,40,70,109149.615384615,100898,144141,258.254807692308,224,224,1,21.5924426450742,"Look at Product - discrete","requestTrace","teastore-private-nlb-onlyuireplication"
47.6471153846154,45,72,8.87692307692308,7,15,27820.1855769231,27428,27440,1128.67115384615,1126,1127,1,20.9876294068977,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-onlyuireplication"
17.268,16,24,5.746,5,8,10562.42,10563,10563,977.151,980,980,1,57.9105860551309,"Logout - discrete","requestTrace","teastore-private-nlb-onlyuireplication"
