"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
45.700975,41,81,25.4185625,19,55,54012.458575,26517.5,124471,1236.4191625,1051.5,2105,1,21.8813712398915,"Overall","system","teastore-private-nlb-onlyupstreamreplication"
73.7587,70,102,12.2297,10,21,27721.8472,26908,31674.5000000004,2106.6117,2109,2111,1,13.5577226822056,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-onlyupstreamreplication"
70.5169,67,98,12.109,10,20,27029.9933,26365,30343.5000000009,1864.0509,1865,1867,1,14.1809977466395,"Add Product to Cart","requestTrace","teastore-private-nlb-onlyupstreamreplication"
14.9571,13,24,14.908,13,24,9118,9118,9118,210,210,210,1,66.8578802040502,"Home","requestTrace","teastore-private-nlb-onlyupstreamreplication"
38.1019,35,57,34.5502,32,51,118586.2174,113193,152095,833.8775,834,835,1,26.2454103338679,"List Products","requestTrace","teastore-private-nlb-onlyupstreamreplication"
37.8059,35,55,34.441,31,51,118473.5232,112331,151662,959.5252,960,961,1,26.4508978757284,"List Products with different page","requestTrace","teastore-private-nlb-onlyupstreamreplication"
39.461,36,57,22.7012,20,35.1000000000004,10447.9867,10448,10449,1146.0867,1146,1147,1,25.3414763944147,"Login","requestTrace","teastore-private-nlb-onlyupstreamreplication"
24.5382,22,37,8.2564,7,14,10821.84,10823,10823,1949.6458,1952,1953,1,40.7527854528857,"Logout","requestTrace","teastore-private-nlb-onlyupstreamreplication"
66.4681,63,93,64.153,61,91,109900.2608,105241,140582,821.5555,822,823,1,15.0448109694726,"Look at Product","requestTrace","teastore-private-nlb-onlyupstreamreplication"
10.624,9,16,10.563,9,16,9117.71,9118,9118,210,210,210,1,94.1265060240964,"Home - discrete","requestTrace","teastore-private-nlb-onlyupstreamreplication"
28.0267326732673,26,40,17,15,26,10451.1396039604,10448,10449,1151.66435643564,1146,1147,1,35.6802204401738,"Login - discrete","requestTrace","teastore-private-nlb-onlyupstreamreplication"
20.2495145631068,18,29,19.2339805825243,17,27,108982.59223301,112666,123944,264.159223300971,236,236,1,49.3838998897253,"List Products - discrete","requestTrace","teastore-private-nlb-onlyupstreamreplication"
35.2009615384615,33,50,34.2711538461538,32,49,96069.9990384615,91342,113395.4,258.110576923077,224,224,1,28.4083148952443,"Look at Product - discrete","requestTrace","teastore-private-nlb-onlyupstreamreplication"
46.0817307692308,43,69,8.61923076923077,7,14,25387.0788461538,24826,24834,1128.79230769231,1126,1127,1,21.7005738132499,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-onlyupstreamreplication"
15.062,14,20.1,5.076,4,7,10562.42,10563,10563,977.151,980,980,1,66.3922453857389,"Logout - discrete","requestTrace","teastore-private-nlb-onlyupstreamreplication"
