"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
53.418925,43,98,33.5982125,25,69,45353.2349875,11875,122060,1205.855675,961,2103,0.9625375,18.719957393377,"Overall","system","teastore-private-nlb-withfailures-highreplication"
72.0926,59,128,17.7602,14,32,15290.7507,12558,28166,2026.0768,2108,2111,0.9241,13.8710491784178,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication"
68.0582,55,121,17.4055,14,31,14797.451,11864,27680,1808.0419,1865,1867,0.9335,14.6933066111064,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-highreplication"
22.4439,18,40,22.4053,18,40,9010.2234,9118,9118,210,210,210,0.9866,44.5555362481565,"Home","requestTrace","teastore-private-nlb-withfailures-highreplication"
55.5665,47,94,52.8868,45,90,115465.3951,113193,152095,823.762,834,835,0.9786,17.9964546984244,"List Products","requestTrace","teastore-private-nlb-withfailures-highreplication"
55.3528,46,95,52.7385,44,90,114654.6335,111052,151662,939.4172,960,961,0.9722,18.0659334306485,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-highreplication"
58.531,50,98,34.5913,28,60.1000000000004,10310.4878,10448,10449,1133.9864,1146,1147,0.9848,17.0849635236029,"Login","requestTrace","teastore-private-nlb-withfailures-highreplication"
34.4177,28,60,11.258,8,21,10632.9215,10823,10823,1894.2088,1952,1953,0.9789,29.054817724601,"Logout","requestTrace","teastore-private-nlb-withfailures-highreplication"
60.8887,48,111,59.7401,47,109,72664.0169,69164,105574,811.3523,822,823,0.9416,16.4234086127639,"Look at Product","requestTrace","teastore-private-nlb-withfailures-highreplication"
10.92,9,17.1,10.853,9,17.1,9079.916,9118,9118,210,210,210,0.995,91.5750915750916,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication"
34.0831683168317,31,48,20.6376237623762,18,30.1,10339.198019802,10448,10449,1139.46732673267,1146,1147,0.988118811881188,29.3399953520799,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication"
8.8378640776699,0,26,8.25145631067961,0,24,47758.8349514563,1290,123944,118.312621359223,0,236,0.411650485436893,113.14951115017,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication"
15.4394230769231,15,32,14.9105769230769,14,31,49154.2182692308,52872,98756,185.446153846154,224,224,0.696153846153846,64.769259512985,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication"
33.1384615384615,28,60.1,9.54519230769231,8,16,15260.45,11506,25573,1024.875,1126,1127,0.860576923076923,30.1764159702878,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication"
16.787,15,25,5.453,5,9,10377.349,10563,10563,968.168,980,980,0.986,59.5699052838506,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-highreplication"
