"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
55.1061125,45,105,31.5325,21,69,50854.3049,26925,124471,1120.7089,959,1954,0.9513125,18.146807216713,"Overall","system","teastore-private-nlb-withfailures-lowreplication"
85.0118,77,143,14.4355,12,24,24099.3268,27688,30184,1881.516,2107,2111,0.9161,11.7630728910575,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication"
80.9193,73,136,13.8267,11,23,23570.2113,27023,29488,1673.8301,1864,1867,0.9131,12.357991233241,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-lowreplication"
19.7785,17,33,19.7045,17,33,9011.8245,9118,9118,210,210,210,0.9855,50.5599514624466,"Home","requestTrace","teastore-private-nlb-withfailures-lowreplication"
48.9081,43,78,45.5997,40,73,115360.737,113193,152095,757.6897,834,835,0.9759,20.4465109051466,"List Products","requestTrace","teastore-private-nlb-withfailures-lowreplication"
48.6741,43,78,45.5194,40,73,113520.7101,111052,151662,872.5371,959,961,0.9597,20.5448071972569,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-lowreplication"
44.7675,40,69,23.3232,21,38,10351.752,10448,10710,1068.234,1146,1147,0.9853,22.3376333277489,"Login","requestTrace","teastore-private-nlb-withfailures-lowreplication"
31.2536,27,51,10.5005,8,19,10557.3739,10823,10823,1756.5861,1951,1953,0.977,31.9963140246244,"Logout","requestTrace","teastore-private-nlb-withfailures-lowreplication"
81.536,73.5,133,79.3505,72,129,100362.5036,103267,144953,745.2782,822,823,0.8979,12.2645211930926,"Look at Product","requestTrace","teastore-private-nlb-withfailures-lowreplication"
11.025,10,17,10.96,10,17,9036.733,9118,9118,210,210,210,0.994,90.702947845805,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication"
30.5831683168317,30,44,17.1069306930693,17,27,10345.0188118812,10448,10710,1051.51881188119,1146,1147,0.98019801980198,32.6977241089061,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication"
17.0640776699029,19,31.1,16.1,18,30,94982.1194174757,123944,151567,188.495145631068,236,236,0.692233009708738,58.6026399635867,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication"
27.5990384615385,28,57,26.8403846153846,27,56,67156.3769230769,88738,136270,187.183653846154,224,224,0.660576923076923,36.2331463610076,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication"
31.5375,30,57,7.54807692307692,6,13,17862.8557692308,24604,24632,874.640384615385,1124,1126,0.746153846153846,31.7082837891399,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication"
17.356,16,24,5.853,5,9,10348.554,10563,10563,932.769,980,980,0.985,57.6169624337405,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-lowreplication"
