"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
41.3184875,33,83,28.097625,20,59,25176.0527625,9118,104552,851.618625,822,1951,0.6284875,24.2022411880396,"Overall","system","teastore-private-nlb-withfailures-noreplication"
51.2448,42,101,16.6761,13,30,12803.1343,9744,29039,1294.7477,928,2111,0.5608,19.5141750967903,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-noreplication"
49.6662,41,98,16.2751,13,30,12629.9615,9028,28355,1188.3096,928,1866,0.5684,20.1344173703646,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-noreplication"
22.2466,18,39,22.0966,18,38,7223.4663,7932,9118,210.924,210,210,0.7308,44.9506890940638,"Home","requestTrace","teastore-private-nlb-withfailures-noreplication"
36.4882,33,67,34.2076,31,62,54852.7776,19888,124471,620.0057,833,835,0.5706,27.4061203347932,"List Products","requestTrace","teastore-private-nlb-withfailures-noreplication"
36.764,33,67,34.6823,31,62,54344.4698,19972,124493,678.1079,835,961,0.5654,27.2005222500272,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-noreplication"
48.4929,43,83,32.0484,26,60,8237.2378,9262,10449,878.5284,1145,1147,0.7343,20.6215755296136,"Login","requestTrace","teastore-private-nlb-withfailures-noreplication"
28.7534,25,49,13.0757,10,26,8369.9053,9637,10823,1334.5666,1708,1953,0.7275,34.7784957605014,"Logout","requestTrace","teastore-private-nlb-withfailures-noreplication"
56.8918,51,103,55.7192,50,101,42947.4695,7319,117165.1,607.7591,821,823,0.5701,17.5772255404118,"Look at Product","requestTrace","teastore-private-nlb-withfailures-noreplication"
12.041,11,18,11.956,10,17,7425.129,9118,9118,210.42,210,210,0.837,83.049580599618,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-noreplication"
28.4693069306931,29,44,17.6930693069307,16,30,8452.86435643564,10447,10710,898.60297029703,1145,1147,0.785148514851485,35.1255477498783,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-noreplication"
19.826213592233,20,41.1,18.9194174757282,20,39,39372.0601941748,5605,123944,187.838834951456,236,236,0.500970873786408,50.4382743254493,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-noreplication"
22.2788461538462,21,46,21.7567307692308,20,45.1,36026.0692307692,6813,102584,182.519230769231,224,224,0.530769230769231,44.885627967199,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-noreplication"
26.0980769230769,23,55,8.00576923076923,7,13,11213.7346153846,8701,27896,732.954807692308,622,1126,0.594230769230769,38.3169994841942,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-noreplication"
16.06,15,24,6.609,5,11,8235.453,9377,10563,780.501,980,980,0.758,62.266500622665,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-noreplication"
