"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
38.07595,31,74,24.554525,18,52,29086.286825,9637,105747,971.8364125,834,1950,0.7994125,26.263297435783,"Overall","system","teastore-private-nlb-withfailures-onlyuireplication"
46.7714,38,92,14.3718,12,25,13409.5363,7753,26678,1440.801,928,2110,0.6809,21.3805872819715,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
45.3825,38,88,14.2418,12,25,13189.4676,7082,25980,1319.578,928,1866,0.6846,22.0349253566904,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
19.2074,16,32,19.1865,16,32,7731.9819,7932,9118,210,210,210,0.9878,52.0632672824016,"Home","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
30.9035,28,57,29.2466,27,54,64753.7608,20013,151588.6,709.2125,834,835,0.6943,32.358794311324,"List Products","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
30.4929,28,57,29.0096,27,53,63681.2611,20310,125126,783.6016,835,961,0.6858,32.7945193799212,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
51.8581,44,91,31.5056,25,61,9113.3033,9263,10710,1021.3984,1146,1147,0.9831,19.2833906371425,"Login","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
30.5783,26,50,10.4619,8,19,9245.355,9637,10823,1593.2569,1709,1953,0.9873,32.7029298554857,"Logout","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
49.4135,43,91,48.4124,43,88,51565.6286,7319,112401.2,696.8429,821,823,0.6915,20.2373845204246,"Look at Product","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
10.902,10,17,10.862,10,17,7946.603,9118,9118,210,210,210,0.996,91.726288754357,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
28.6673267326733,27,43,16.3772277227723,16,27,9437.18415841584,10447,10710,1004.25940594059,1146,1147,0.993069306930693,34.8829177315742,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
13.4456310679612,16,26,12.7708737864078,16,25,50507.3533980583,19361,123944,187.843689320388,236,236,0.579611650485437,74.3736009820204,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
16.3057692307692,15,35,15.8971153846154,14,34,34192.325,6799,108295,182.489423076923,224,224,0.591346153846154,61.3279867908952,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
20.6615384615385,18,39,7.53365384615385,7,11,11605.4788461538,7082,25604,706.205769230769,622,1126,0.601923076923077,48.3991064780343,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
16.064,15,23,5.338,5,8,9182.585,9785,10563,893.014,980,980,0.984,62.2509960159363,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-onlyuireplication"
