"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
39.271175,32,77,27.073275,20,56,15030.109675,7082,20129,951.9702875,834,1952,0.6526125,25.4639694381439,"Overall","system","teastore-private-nlb-withfailures-onlyupstreamreplication"
49.7157,42,100,15.854,13,28,10061.4679,7746,20785.3,1461.7394,2101,2111,0.5685,20.1143703095803,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
47.2994,40,95,15.5063,13,27,9713.9955,7082,20094,1327.1916,1861,1867,0.569,21.1419172336224,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
18.9254,16,32,18.8671,16,32,5451.6234,4306,9118,210.399,210,210,0.7696,52.8390417111395,"Home","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
36.3853,34,63,35.3255,33,61,30664.5222,19786,105747,693.1021,834,835,0.5979,27.4836266294355,"List Products","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
36.411,34,63,35.3888,33,61,30584.407,19858,105835,769.1957,958,961,0.5927,27.4642278432342,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
45.1919,39,73,30.3155,25,51,6433.4289,5636,10448,957.3063,1146,1147,0.7695,22.1278591960064,"Login","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
24.9006,22,41,10.5476,8,20,6711.4184,6011,10823,1515.4087,1948,1953,0.7676,40.1596748672723,"Logout","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
55.3401,50,99,54.7814,49,98,20620.0141,7319,85820,681.4195,821,823,0.5861,18.0700793818587,"Look at Product","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
9.572,8,14,9.519,8,14,6431.123,5604,9118,210.21,210,210,0.814,104.471374843293,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
26.6792079207921,24,38,18.3,17,27,6579.07623762376,5636,10448,959.211881188119,1146,1147,0.766336633663366,37.4823721517108,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
10.1873786407767,11,23,9.90388349514563,11,22,15489.5776699029,7014,19423,166.397087378641,236,236,0.440776699029126,98.1606785476032,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
17.3009615384615,16,36,17.0615384615385,16,35,10105.65,6786,7008,185.425961538462,224,224,0.430769230769231,57.8002556549769,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
16.8548076923077,9,40,6.77692307692308,6,11,8688.23461538462,6695,11515,658.464423076923,345,1126,0.402884615384615,59.3302527240573,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
12.651,12,18,5.419,4,8,7910.676,5751,10563,833.383,980,980,0.783,79.0451347719548,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-onlyupstreamreplication"
