"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
58.8857875,47,110,31.7286875,22,74,54191.3190875,26622,124471,1236.4052875,1052,2105,1,16.982026435496,"Overall","system","teastore-private-nlb-noreplication-nocaching"
104.7821,98,141,14.6881,13,23,27676.2616,27041,31090.1,2106.7659,2109,2111,1,9.54361479680213,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-nocaching"
98.8491,93,132,14.611,13,23,26988.4074,26342,30420.5000000001,1863.9811,1865,1867,1,10.116429992787,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication-nocaching"
16.809,15,26,16.7202,15,26,9118,9118,9118,210,210,210,1,59.4919388422869,"Home","requestTrace","teastore-private-nlb-noreplication-nocaching"
43.0807,39,63,40.4818,37,60,118906.2491,113193,152095,833.8025,834,835,1,23.2122504973225,"List Products","requestTrace","teastore-private-nlb-noreplication-nocaching"
42.5657,39,61,40.1679,36,59,118808.0285,112331,151662,959.4728,960,961,1,23.4930942049585,"List Products with different page","requestTrace","teastore-private-nlb-noreplication-nocaching"
45.7462,42,65,27.6089,25,41,10447.9915,10448,10449,1146.0915,1146,1147,1,21.8597391695922,"Login","requestTrace","teastore-private-nlb-noreplication-nocaching"
26.2456,24,39,8.4271,7,14,10821.84,10823,10823,1949.6738,1952,1953,1,38.1016246532752,"Logout","requestTrace","teastore-private-nlb-noreplication-nocaching"
93.0079,87,126,91.1245,86,124,110763.7746,107732,142337,821.4547,822,823,1,10.7517748492332,"Look at Product","requestTrace","teastore-private-nlb-noreplication-nocaching"
7.313,6,10,7.266,6,10,9117.71,9118,9118,210,210,210,1,136.742786817995,"Home - discrete","requestTrace","teastore-private-nlb-noreplication-nocaching"
31.009900990099,29,40,19.0990099009901,18,26,10451.1594059406,10448,10449,1151.6900990099,1146,1147,1,32.2477650063857,"Login - discrete","requestTrace","teastore-private-nlb-noreplication-nocaching"
25.5067961165049,22,39,24.3631067961165,21,38,112615.994174757,105220,151567,264.68640776699,236,236,1,39.2052375152253,"List Products - discrete","requestTrace","teastore-private-nlb-noreplication-nocaching"
59.9961538461538,57,83,58.525,56,83,104205.320192308,101141,124471,257.377884615385,224,224,1,16.6677351112251,"Look at Product - discrete","requestTrace","teastore-private-nlb-noreplication-nocaching"
58.2326923076923,55,79,9.11057692307692,7,14,26472.1355769231,25964,25974,1128.0125,1126,1127,1,17.172484396156,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-noreplication-nocaching"
15.874,14,22,5.269,5,7,10562.42,10563,10563,977.965,980,980,1,62.996094242157,"Logout - discrete","requestTrace","teastore-private-nlb-noreplication-nocaching"
