"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
24.8865,22,44,18.020675,15,34,49831.02225,10823,124471,1484.3502625,1051.5,3155,1,40.1824282241376,"Overall","system","teastore-private-nlb-noreplication-withcaching"
27.171,24,44,13.8204,11,24,10903.8545,10907,10908,3156.8918,3161,3164,1,36.8039453829451,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-withcaching"
27.0524,24,43,13.7696,11,24,10786.9894,10789,10790,2797.6182,2799,2802,1,36.9652969791959,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication-withcaching"
8.1766,6,16,8.1267,6,15.1000000000004,9118,9118,9118,210,210,210,1,122.300222586405,"Home","requestTrace","teastore-private-nlb-noreplication-withcaching"
27.3664,24,43,23.9688,21,38,118709.5608,113193,152095,833.8733,834,835,1,36.5411599625819,"List Products","requestTrace","teastore-private-nlb-noreplication-withcaching"
28.164,25,44,25.0012,22,39,118638.3464,112331,151662,959.4541,960,961,1,35.5063201249822,"List Products with different page","requestTrace","teastore-private-nlb-noreplication-withcaching"
43.3034,37,71,33.5519,27,59,10447.4067,10448,10449,1146.0867,1146,1147,1,23.0928749243708,"Login","requestTrace","teastore-private-nlb-noreplication-withcaching"
19.4302,17,33,9.9462,8,19,10822.42,10823,10823,1949.3536,1952,1953,1,51.4662741505491,"Logout","requestTrace","teastore-private-nlb-noreplication-withcaching"
18.428,15,33,15.9806,13,29,109221.6002,103862.5,145018,821.5244,822,823,1,54.2652485348383,"Look at Product","requestTrace","teastore-private-nlb-noreplication-withcaching"
3.877,3,5,3.836,3,5,9117.71,9118,9118,210,210,210,1,257.931390250193,"Home - discrete","requestTrace","teastore-private-nlb-noreplication-withcaching"
31.8623762376238,27,51,25.5158415841584,21,43,10451.0821782178,10448,10449,1151.60594059406,1146,1147,1,31.3849787141481,"Login - discrete","requestTrace","teastore-private-nlb-noreplication-withcaching"
11.7563106796116,10,16,10.747572815534,10,15,123345.702912621,112666,151567,264.680582524272,236,236,1,85.0606986538938,"List Products - discrete","requestTrace","teastore-private-nlb-noreplication-withcaching"
8.72403846153846,6,11,8.49230769230769,6,11,6394.92211538462,3457,6065,258.379807692308,224,224,0.0480769230769231,114.625812851317,"Look at Product - discrete","requestTrace","teastore-private-nlb-noreplication-withcaching"
14.3586538461538,13,19,6.93076923076923,6,9,11410.4403846154,10432,10432,1890.81442307692,1919,1919,1,69.6444117056184,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-noreplication-withcaching"
8.459,8,12,4.166,4,6,10562.42,10563,10563,977.965,980,980,1,118.217283366828,"Logout - discrete","requestTrace","teastore-private-nlb-noreplication-withcaching"
