"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
26.3717125,23,48,18.4041875,15,34,49684.2904,10823,124471,1484.349125,1052,3156,1,37.9194183919607,"Overall","system","teastore-private-nlb-noreplication-withsomecaching"
30.6356,27,49,15.7622,13,27,10903.9023,10907,10908,3157.0353,3161,3164,1,32.6417631774798,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
30.7536,27,49,15.7311,13,27,10787.0207,10789,10790,2797.66,2799,2802,1,32.5165183913428,"Add Product to Cart","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
8.9545,7,17,8.9114,7,17,9118,9118,9118,210,210,210,1,111.675693785248,"Home","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
29.0239,25,50,24.5462,21,42,119127.6088,113193,152095,833.869,834,835,1,34.454363472862,"List Products","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
29.8309,25,52,25.3505,21,43,119004.4418,112331,151662,959.4626,960,961,1,33.5222872927066,"List Products with different page","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
39.6726,35,62,28.4747,24,47,10447.394,10448,10449,1146.074,1146,1147,1,25.2063136774499,"Login","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
21.8393,18,38,11.3135,9,21,10822.42,10823,10823,1949.1805,1952,1953,1,45.7890133841286,"Logout","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
20.2633,16,38,17.1439,14,32,107263.5356,100110,141712,821.5116,822,823,1,49.3503032576135,"Look at Product","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
5.542,5,8,5.489,5,8,9117.71,9118,9118,210,210,210,1,180.440274269217,"Home - discrete","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
27.3821782178218,25,40,20.6930693069307,18,31,10451.1227722772,10448,10449,1151.64851485149,1146,1147,1,36.5201041365346,"Login - discrete","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
10.9864077669903,9,17,9.99320388349514,8,15,112058.310679612,112666,123944,264.039805825243,236,236,1,91.0215623895369,"List Products - discrete","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
8.91538461538462,8,12,8.67884615384615,8,12,6259.07980769231,3457,6065,258.427884615385,224,224,0.0480769230769231,112.165660051769,"Look at Product - discrete","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
15.5259615384615,14,21.1,8.40192307692308,7,13,11571.1442307692,10432,10433,1892.72788461538,1919,1921,1,64.4082492103796,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
10.868,10,14,5.286,5,7,10562.42,10563,10563,977.965,980,980,1,92.0132499079867,"Logout - discrete","requestTrace","teastore-private-nlb-noreplication-withsomecaching"
