"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
57.1119875,39,130,37.559525,24,84,24060.0831875,7325,102949,767.3932375,781,1865,0.624225,17.5094589380207,"Overall","system","teastore-private-nlb-withfailures-nocaching"
78.0098,48,174,20.644,16,37,13925.3324,7082,29635,1152.7338,926,2109,0.5666,12.8189022404877,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-nocaching"
74.5945,47,164,19.8507,16,35,13745.9888,7082,28925,1053.7373,926,1865,0.5679,13.4058141015759,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-nocaching"
27.524,22,48,27.4399,22,48,6954.621,7932,9118,210.483,210,210,0.7209,36.3319284987647,"Home","requestTrace","teastore-private-nlb-withfailures-nocaching"
48.2776,43,86.1000000000004,46.1029,41,82,49166.9281,19593,124471,553.9035,832,835,0.5644,20.7135400268447,"List Products","requestTrace","teastore-private-nlb-withfailures-nocaching"
48.1895,43,87,45.9429,41,82,49581.7637,19979,124493,616.1016,819,960,0.5696,20.7514085018521,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-nocaching"
46.7008,40,75,27.7586,23,50,7941.2768,9260,10448,807.9114,1144,1147,0.7127,21.412909414828,"Login","requestTrace","teastore-private-nlb-withfailures-nocaching"
35.7159,29,62,16.2306,11,31,8014.1934,9637,10823,1200.844,1171,1952,0.7221,27.9987344572025,"Logout","requestTrace","teastore-private-nlb-withfailures-nocaching"
97.8838,91,181,96.5066,91,177,43150.5613,7319,116901,543.4313,819,823,0.5696,10.2161951211539,"Look at Product","requestTrace","teastore-private-nlb-withfailures-nocaching"
10.144,9,16,10.062,9,16,7452.395,9118,9118,210,210,210,0.807,98.5804416403786,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-nocaching"
27.8970297029703,25,43,18.7742574257426,17,33,8310.19801980198,10419,10449,853.564356435644,1145,1147,0.771287128712871,35.8461101646792,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-nocaching"
14.447572815534,16,29.1,13.7106796116505,15,27,55979.0291262136,19361,123944,185.922330097087,236,236,0.633980582524272,69.2157785095088,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-nocaching"
24.2740384615385,20,56,23.8596153846154,20,55,28912.9519230769,6753,106679,179.698076923077,224,224,0.515384615384615,41.1962764903941,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-nocaching"
23.8836538461538,19,50,6.48173076923077,5,11,12224.0086538462,5605,29688,644.885576923077,620,1126,0.607692307692308,41.8696404847216,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-nocaching"
14.809,11,26,6.117,5,10,8263.759,9377,10563,732.444,980,980,0.702,67.52650415288,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-nocaching"
