"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
30.2626625,24,55,23.39975,17,45,34838.0474375,10551,113193,1031.273375,823,2799,0.75335,33.0440191770965,"Overall","system","teastore-private-nlb-withfailures-withcaching"
31.3536,25,52.1000000000004,18.3513,14,34,9581.6831,10901,10908,2100.8473,3150,3164,0.779,31.8942641355379,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-withcaching"
30.7125,25,52,17.7953,14,33,9524.1161,10784,10790,1886.9635,2793,2802,0.7795,32.5600325600326,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-withcaching"
11.7617,8,22,11.6732,8,22,8348.3156,9118,9118,210.252,210,210,0.7809,85.0217230502393,"Home","requestTrace","teastore-private-nlb-withfailures-withcaching"
37.5126,30,61,33.8869,27,55,89021.9621,105747,151901,591.4035,833,835,0.7837,26.6577096762155,"List Products","requestTrace","teastore-private-nlb-withfailures-withcaching"
38.6986,31,63,34.7761,28,56,86135.8173,104704,150211,680.284,958,961,0.7821,25.8407280883546,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-withcaching"
45.2795,37,80,35.2914,29,67,9439.9719,10448,10710,859.6593,1145,1147,0.7809,22.0850495257236,"Login","requestTrace","teastore-private-nlb-withfailures-withcaching"
24.0095,18,42,14.3539,10,29,9509.1055,10823,10823,1342.1723,1948,1953,0.779,41.6501801370291,"Logout","requestTrace","teastore-private-nlb-withfailures-withcaching"
22.7733,15,42,21.0699,14,40,57143.4079,52755,127942.5,578.6051,821,823,0.5617,43.9110712984065,"Look at Product","requestTrace","teastore-private-nlb-withfailures-withcaching"
5.471,4,9,5.419,4,9,8516.874,9118,9118,210,210,210,0.829,182.781941144215,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-withcaching"
18.7564356435644,18,30,14.570297029703,14,25,9469.00297029703,10448,10710,854.20099009901,1145,1147,0.785148514851485,53.3150337837838,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-withcaching"
0.430097087378641,0,0,0.309708737864078,0,0,1392.6932038835,1290,1290,21.9883495145631,0,0,0.0233009708737864,2325.05643340858,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-withcaching"
5.98557692307692,6,10,5.81634615384615,6,9,4846.57403846154,3457,5604,203.250961538462,224,224,0.0365384615384615,167.068273092369,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-withcaching"
11.8153846153846,11,18,6.47403846153846,5,10,9653.02980769231,10330.5,10433,1229.4625,911,1921,0.706730769230769,84.6354166666667,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-withcaching"
8.905,8,13,5.133,4,8,9369.965,10563,10563,760.978,980,980,0.791,112.296462661426,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-withcaching"
