"mean(elapsed) [ms]","median(elapsed) [ms]","90th_percentile(elapsed) [ms]","mean(latency) [ms]","median(latency) [ms]","90th_percentile(latency) [ms]","mean(receivedBytes) [byte]","median(receivedBytes) [byte]","90th_percentile(receivedBytes) [byte]","mean(sentBytes) [byte]","median(sentBytes) [byte]","90th_percentile(sentBytes) [byte]","success_rate [%]","throughput [requests / s]","label","entityType","architectureVariation"
26.55135,22,49,20.5811375,17,40,33146.9621,10432,112746,936.85145,823,1953,0.7028375,37.6628683663919,"Overall","system","teastore-private-nlb-withfailures-withsomecaching"
27.0366,23,47,17.2372,14,31,8857.798,10262,10908,1688.8467,1158,3163,0.5821,36.9868992402891,"Add Product 2 to Cart","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
26.8048,23,46,17.1522,14,31,8828.6797,10262,10789,1547.278,1087,2799,0.5849,37.3067510296663,"Add Product to Cart","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
11.439,8,23,11.3693,8,22,8386.4334,9118,9118,210.21,210,210,0.7918,87.4202290410001,"Home","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
33.0793,27,58,29.137,24,50,85189.4005,105732.5,152095,603.2971,833,835,0.7949,30.2303857699528,"List Products","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
33.4988,28,57,29.8744,25,51,79965.4326,104152,147312,663.1438,834,960,0.7933,29.851815587424,"List Products with different page","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
37.148,32,62,27.5773,23,50,8541.0575,10447,10449,873.1546,1145,1147,0.7932,26.919349628513,"Login","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
23.3792,19,42,13.9793,10,28,9583.6024,10823,10823,1318.4134,1708,1953,0.7918,42.7730632356967,"Logout","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
20.0251,15,39,18.3224,14,36,55823.2927,7321,129577,590.468,821,823,0.4907,49.9373286525411,"Look at Product","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
5.258,4,8,5.225,4,8,7515.085,7932,7932,210,210,210,0.821,190.186382655002,"Home - discrete","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
18.6623762376238,18,29,14.4613861386139,15,24,5696.28910891089,5636,5898,879.158415841584,1145,1147,0.834653465346535,53.5837444957292,"Login - discrete","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
9.57281553398058,10,17.1,8.98349514563107,9,16,63008.5019417476,98002,112666,209.370873786408,236,236,0.639805825242718,104.46247464503,"List Products - discrete","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
4.46538461538462,5,8,4.28653846153846,5,8,3946.59711538462,3457,3457,159.2125,224,224,0.0326923076923077,223.944875107666,"Look at Product - discrete","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
5.44711538461539,4,7,5.25769230769231,4,7,6285.80865384615,6454,6454,357.596153846154,345,345,0.0230769230769231,183.583406884378,"Add Product to Cart - discrete","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
8.694,8,12,4.98,4,8,9376.189,10563,10563,765.311,980,980,0.791,115.021854152289,"Logout - discrete","requestTrace","teastore-private-nlb-withfailures-withsomecaching"
